,PYCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),10.86,9.39,Valuation,1.156549520766773
Price/Book (MRQ),3.87,12.63,Valuation,0.3064133016627078
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6357,0.7206,Profitability,0.8821815154038302
Operating Profit Margin (TTM),-0.3422,0.2172,Profitability,-1.5755064456721914
Net Profit Margin (TTM),-0.2089,0.1553,Profitability,-1.3451384417256922
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2154,-0.0752,Gowth rates,2.8643617021276597
EPS Growth (TTM),0.2828,-0.2824,Gowth rates,-1.001416430594901
Revenue Growth (MRQ),0.0659,0.15560000000000002,Gowth rates,0.42352185089974287
Revenue Growth (TTM),0.2415,0.1906,Gowth rates,1.2670514165792235
Return On Equity (TTM),-0.0738,0.2189,Effectiveness,-0.33714024668798537
Return On Assets (TTM),-0.0349,0.10740000000000001,Effectiveness,-0.32495344506517687
Return On Investment (TTM),-0.0681,0.1387,Effectiveness,-0.49098774333093004
Revenue Per Employee (TTM),197808.0,667721.0,Effectiveness,0.29624349091911145
Total Debt/Total Capital (MRQ),0.0007000000000000001,0.39659999999999995,Financial strength,0.001765002521432174
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-24.65,0.28,Financial strength,-88.03571428571428
