,DXC
% Above Low,0.3104
% Held by Institutions,0.8962
52-Wk Range,['22.65 - 39.65']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,2.0
Bid,25.75
Bid Size,500.0
Closing Price,29.68
Day Change $,0.07
Day Change %,0.0024
Day High,29.9
Day Low,29.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.07
Ex-dividend Date,No dividend
Historical Volatility,0.52
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.68
Prev Close,29.61
Short Interest,0.0253
Today's Open,29.74
Volume,514644.0
Volume 10-day Avg,1509655.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.04166666666666663
Growth 1yr High Est,-0.0027100271002709064
Growth 1yr Consensus Est,-0.022188346883468768
Growth 2yr Low Est,0.09510869565217389
Growth 2yr High Est,0.1779928125368211
Growth 2yr Consensus Est,0.1365507540944975
Growth 5yr Low Est,0.04302383951912489
Growth 5yr High Est,0.07284596379053443
Growth 5yr Consensus Est,0.05793490165482966
Growth 5yr Actual/Est,0.04801513633054855
Growth 3yr Historic,-0.03104672773131556
Price/Earnings (TTM),9.67857
Price/Sales (TTM),0.44426
Price/Book (MRQ),1.47943
Price/Cash Flow (TTM),2.82046
5yr Low,7.9
5yr High,107.85
5yr Avg Return,-0.16079999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.1641478
Dividend Growth 5yr,
Short Int Current Month,5797582.0
Short Int Prev Month,8275398.0
Short Int Pct of Float,0.0253412
Days to Cover,2.27023
Float,228.7226
Shares Outstanding,230.0652
Institutions Holding Shares,698.0
FCF Growth 5yr,-3.129169570215906
"Price/Earnings (TTM, GAAP)",9.68
"PEG Ratio (TTM, GAAP)",0.72
Gross Profit Margin (TTM),0.2163
Operating Profit Margin (TTM),0.0796
Net Profit Margin (TTM),0.050199999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7305
EPS Growth (TTM),1.0937000000000001
Revenue Growth (MRQ),-0.038
Revenue Growth (TTM),-0.0873
Return On Equity (TTM),0.1613
Return On Assets (TTM),0.0408
Return On Investment (TTM),0.0629
Revenue Per Employee (TTM),118231.0
Total Debt/Total Capital (MRQ),0.47850000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.13
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-04-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-06-07 00:00:00
