,DXC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.68,53.11,Valuation,0.18226322726416871
Price/Sales (TTM),0.44,19.35,Valuation,0.022739018087855296
Price/Book (MRQ),1.48,19.03,Valuation,0.07777193904361533
"PEG Ratio (TTM, GAAP)",0.72,3.41,Valuation,0.21114369501466274
Gross Profit Margin (TTM),0.2163,0.44520000000000004,Profitability,0.48584905660377353
Operating Profit Margin (TTM),0.0796,0.3027,Profitability,0.2629666336306574
Net Profit Margin (TTM),0.050199999999999995,0.23600000000000002,Profitability,0.21271186440677964
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.7305,-3.5569,Gowth rates,0.20537546740138884
EPS Growth (TTM),1.0937000000000001,0.15560000000000002,Gowth rates,7.028920308483291
Revenue Growth (MRQ),-0.038,0.16460000000000002,Gowth rates,-0.23086269744835963
Revenue Growth (TTM),-0.0873,0.2273,Gowth rates,-0.3840739111306643
Return On Equity (TTM),0.1613,0.5459,Effectiveness,0.2954753617878732
Return On Assets (TTM),0.0408,0.1131,Effectiveness,0.3607427055702918
Return On Investment (TTM),0.0629,0.18910000000000002,Effectiveness,0.3326282390269698
Revenue Per Employee (TTM),118231.0,686074.0,Effectiveness,0.17232980698875047
Total Debt/Total Capital (MRQ),0.47850000000000004,0.5613,Financial strength,0.8524853019775521
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0048,Financial strength,0.020833333333333336
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),11.13,27.21,Financial strength,0.40904079382579933
