,SCL
% Below High,0.1355
% Held by Institutions,0.7857999999999999
52-Wk Range,['91.64 - 126.24']
Annual Dividend $,1.46
Annual Dividend %,0.0132
Ask,109.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,108.89
Bid Size,200.0
Day Change $,-1.38
Day Change %,-0.0125
Day High,110.59
Day Low,109.34
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.277
Last (size),16.0
Last (time),1:43p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.65
Prev Close,110.51
Price,109.13
Short Interest,0.009399999999999999
Today's Open,110.59
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.07843137254901955
Growth 1yr High Est,0.11251980982567344
Growth 1yr Consensus Est,0.0954755911873465
Growth 2yr Low Est,0.04754901960784308
Growth 2yr High Est,0.10113169978463166
Growth 2yr Consensus Est,0.07434035969623737
Growth 5yr Low Est,0.08794288762733016
Growth 5yr High Est,0.12184894561533005
Growth 5yr Consensus Est,0.1048959166213301
Growth 5yr Actual/Est,0.08453266269696103
Growth 3yr Historic,0.04847051056338031
Price/Earnings (TTM),16.65343
Price/Sales (TTM),0.89127
Price/Book (MRQ),2.1759
Price/Cash Flow (TTM),9.97511
5yr Low,68.09
5yr High,139.3
5yr Avg Return,0.06041666666666668
EPS Growth 5yr,0.0965721
Revenue Growth 5yr,0.05842
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,199483.0
Short Int Prev Month,344631.0
Short Int Pct of Float,0.0094036
Days to Cover,3.26978
Float,21.22843
Shares Outstanding,22.22831
Institutions Holding Shares,282.0
FCF Growth 5yr,0.06594066989298146
"Price/Earnings (TTM, GAAP)",16.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1606
Operating Profit Margin (TTM),0.0782
Net Profit Margin (TTM),0.0556
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.10619999999999999
"Dividend Growth Rate, 3 Years",0.10560000000000001
EPS Growth (MRQ),-0.2438
EPS Growth (TTM),0.023100000000000002
Revenue Growth (MRQ),-0.0432
Revenue Growth (TTM),0.2356
Return On Equity (TTM),0.1402
Return On Assets (TTM),0.07150000000000001
Return On Investment (TTM),0.096
Revenue Per Employee (TTM),1130021.0
Total Debt/Total Capital (MRQ),0.3333
Change in Debt/Total Capital Quarter over Quarter,0.0069
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),11.92
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-06-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
