,ETN
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.50501002004008
Growth 1yr High Est,0.13943028485757125
Growth 1yr Consensus Est,0.3222201524488256
Growth 2yr Low Est,0.2817992843209721
Growth 2yr High Est,0.13089935295510136
Growth 2yr Consensus Est,0.20634931863803674
Growth 5yr Low Est,0.1361982379831046
Growth 5yr High Est,0.13848763035232614
Growth 5yr Consensus Est,0.13734293416771537
Growth 5yr Actual/Est,0.13526430420751992
Growth 3yr Historic,0.07727904229476559
