,ETN
Price/Earnings (TTM),29.07706
Price/Sales (TTM),3.27591
Price/Book (MRQ),4.1114
Price/Cash Flow (TTM),20.34553
5yr Low,56.42
5yr High,175.72
5yr Avg Return,0.1609
EPS Growth 5yr,0.0492897
Revenue Growth 5yr,-0.0012082
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,4348307.0
Short Int Prev Month,4279975.0
Short Int Pct of Float,0.0109799
Days to Cover,1.8205
Float,396.1966
Shares Outstanding,397.7
Institutions Holding Shares,1759.0
% Held by Institutions,0.79298
FCF Growth 5yr,0.9165790900563776
