,JBT
% Above Low,0.12480000000000001
% Held by Institutions,1.0076
52-Wk Range,['81.59 - 166.65']
Annual Dividend $,0.4
Annual Dividend %,0.0044
Ask,147.93
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,36.99
Bid Size,200.0
Closing Price,91.77
Day Change $,0.09
Day Change %,0.001
Day High,93.04
Day Low,91.48
Dividend Pay Date,2022-09-06 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-08-19 00:00:00
Ex-dividend Date,08/19/22
Historical Volatility,0.467
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.6
Prev Close,91.68
Short Interest,0.024300000000000002
Today's Open,91.48
Volume,66197.0
Volume 10-day Avg,208460.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.11904761904761907
Growth 1yr High Est,0.10000000000000009
Growth 1yr Consensus Est,0.10952380952380958
Growth 2yr Low Est,0.05101317122593718
Growth 2yr High Est,0.13668076109936578
Growth 2yr Consensus Est,0.09384696616265148
Growth 5yr Low Est,-0.00230133625355336
Growth 5yr High Est,0.04195530371937492
Growth 5yr Consensus Est,0.01982698373291078
Growth 5yr Actual/Est,0.029412661833119885
Growth 3yr Historic,-0.04570063042410347
Price/Earnings (TTM),23.60431
Price/Sales (TTM),1.41615
Price/Book (MRQ),3.62642
Price/Cash Flow (TTM),14.31756
5yr Low,56.17
5yr High,177.56
5yr Avg Return,0.019266666666666668
EPS Growth 5yr,0.1008058
Revenue Growth 5yr,0.0670638
Dividend Growth 5yr,0.0
Short Int Current Month,762671.0
Short Int Prev Month,800531.0
Short Int Pct of Float,0.0242725
Days to Cover,2.9656
Float,31.43141
Shares Outstanding,31.8584
Institutions Holding Shares,368.0
FCF Growth 5yr,6.4515063789257345
"Price/Earnings (TTM, GAAP)",23.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2866
Operating Profit Margin (TTM),0.0742
Net Profit Margin (TTM),0.0605
Annual Dividend Yield,0.0044
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.024
EPS Growth (TTM),0.0676
Revenue Growth (MRQ),0.0242
Revenue Growth (TTM),0.1405
Return On Equity (TTM),0.1649
Return On Assets (TTM),0.0543
Return On Investment (TTM),0.0719
Revenue Per Employee (TTM),312803.0
Total Debt/Total Capital (MRQ),0.5486
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),13.17
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-15 00:00:00
researchTeam since,2021-12-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-03 00:00:00
cfra since,
marketEdge opinion since,
