,MRTN
% Below High,0.0892
% Held by Institutions,0.6818000000000001
52-Wk Range,['15.70 - 23.43']
Annual Dividend $,0.24
Annual Dividend %,0.011200000000000002
Ask,23.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,16.37
Bid Size,100.0
Closing Price,21.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.33
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.371
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.07
Prev Close,21.34
Short Interest,0.0301
Today's Open,
Volume,109721.0
Volume 10-day Avg,266999.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.36363636363636376
Growth 1yr High Est,0.3700000000000001
Growth 1yr Consensus Est,0.36681818181818193
Growth 2yr Low Est,0.16329966329966333
Growth 2yr High Est,0.19594890510948904
Growth 2yr Consensus Est,0.17962428420457618
Growth 5yr Low Est,0.07155249443792741
Growth 5yr High Est,0.08753718601991697
Growth 5yr Consensus Est,0.07954484022892219
Growth 5yr Actual/Est,0.1658040411286466
Growth 3yr Historic,0.08430894308943088
Price/Earnings (TTM),16.06625
Price/Sales (TTM),1.43242
Price/Book (MRQ),2.53591
Price/Cash Flow (TTM),7.97796
5yr Low,10.26
5yr High,23.43
5yr Avg Return,0.09750000000000002
EPS Growth 5yr,0.2011526
Revenue Growth 5yr,0.077251
Dividend Growth 5yr,0.3195079
Short Int Current Month,1720083.0
Short Int Prev Month,1921531.0
Short Int Pct of Float,0.030061900000000003
Days to Cover,7.00619
Float,57.21803
Shares Outstanding,81.09663
Institutions Holding Shares,276.0
FCF Growth 5yr,-0.5045334093737249
"Price/Earnings (TTM, GAAP)",16.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3235
Operating Profit Margin (TTM),0.1169
Net Profit Margin (TTM),0.0907
Annual Dividend Yield,0.011200000000000002
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.33880000000000005
EPS Growth (MRQ),-0.1833
EPS Growth (TTM),0.379
Revenue Growth (MRQ),-0.015500000000000002
Revenue Growth (TTM),0.2934
Return On Equity (TTM),0.167
Return On Assets (TTM),0.11900000000000001
Return On Investment (TTM),0.1401
Revenue Per Employee (TTM),301515.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-30 00:00:00
theStreet since,2013-01-24 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
