,IVZ
% Below High,0.23370000000000002
% Held by Institutions,0.9043000000000001
52-Wk Range,['13.20 - 25.33']
Annual Dividend $,0.75
Annual Dividend %,0.038599999999999995
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,13.12
Bid Size,100.0
Closing Price,19.41
Day Change $,0.1
Day Change %,0.0052
Day High,19.49
Day Low,19.15
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",2.0
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.43200000000000005
Last (size),11300.0
Last (time),5:00p ET 11/25/22
Market Cap,8.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.72
Prev Close,19.31
Short Interest,0.04019999999999999
Today's Open,19.21
Volume,1433433.0
Volume 10-day Avg,5587783.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.4385964912280702
Growth 1yr High Est,-0.43506493506493504
Growth 1yr Consensus Est,-0.4368307131465026
Growth 2yr Low Est,-0.26929824561403515
Growth 2yr High Est,-0.09971637557844454
Growth 2yr Consensus Est,-0.18450731059623984
Growth 5yr Low Est,-0.05630810898213279
Growth 5yr High Est,-0.02087268054284544
Growth 5yr Consensus Est,-0.038590394762489114
Growth 5yr Actual/Est,-0.0186928207621678
Growth 3yr Historic,0.08947475363202273
Price/Earnings (TTM),9.71647
Price/Sales (TTM),1.38606
Price/Book (MRQ),0.81038
Price/Cash Flow (TTM),7.72933
5yr Low,6.38
5yr High,38.43
5yr Avg Return,-0.052683333333333346
EPS Growth 5yr,0.0777615
Revenue Growth 5yr,0.0776984
Dividend Growth 5yr,-0.0973908
Short Int Current Month,14708445.0
Short Int Prev Month,14708849.0
Short Int Pct of Float,0.0402025
Days to Cover,2.17652
Float,367.0754
Shares Outstanding,454.8
Institutions Holding Shares,744.0
FCF Growth 5yr,-1.0085593767399652
"Price/Earnings (TTM, GAAP)",9.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6892
Operating Profit Margin (TTM),0.2484
Net Profit Margin (TTM),0.1856
Annual Dividend Yield,0.0386
Dividend Change %,-0.1419
"Dividend Growth Rate, 3 Years",-0.17629999999999998
EPS Growth (MRQ),0.4661
EPS Growth (TTM),-0.20980000000000001
Revenue Growth (MRQ),-0.0553
Revenue Growth (TTM),-0.057999999999999996
Return On Equity (TTM),0.084
Return On Assets (TTM),0.0381
Return On Investment (TTM),0.045700000000000005
Revenue Per Employee (TTM),748138.0
Total Debt/Total Capital (MRQ),0.3275
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-21 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-27 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
