,SKYW
% Above Low,0.1371
% Held by Institutions,0.8072
52-Wk Range,['15.83 - 43.67']
Annual Dividend $,
Annual Dividend %,
Ask,18.01
Ask Size,600.0
B/A Ratio,0.5
B/A Size,300x600
Beta,1.8
Bid,17.99
Bid Size,300.0
Day Change $,-0.07
Day Change %,-0.0039000000000000003
Day High,18.08
Day Low,17.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.46
Ex-dividend Date,No dividend
Historical Volatility,0.546
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,910.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.35
Prev Close,18.07
Price,18.0
Short Interest,0.04019999999999999
Today's Open,17.91
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.25077399380804954
Growth 1yr High Est,-0.2544378698224852
Growth 1yr Consensus Est,-0.25260593181526736
Growth 2yr Low Est,-0.553072947317248
Growth 2yr High Est,-0.40896496665727433
Growth 2yr Consensus Est,-0.48101895698726116
Growth 5yr Low Est,-0.39523566065049387
Growth 5yr High Est,-0.31971374329673924
Growth 5yr Consensus Est,-0.3574747019736166
Growth 5yr Actual/Est,-5.842680446349047
Growth 3yr Historic,-5.595035294117647
Price/Earnings (TTM),7.35396
Price/Sales (TTM),0.29486
Price/Book (MRQ),0.3816
Price/Cash Flow (TTM),1.71565
5yr Low,10.58
5yr High,66.52
5yr Avg Return,-0.09576666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0239853
Dividend Growth 5yr,
Short Int Current Month,1988199.0
Short Int Prev Month,2233397.0
Short Int Pct of Float,0.0401658
Days to Cover,3.89122
Float,49.49856
Shares Outstanding,50.59841
Institutions Holding Shares,268.0
FCF Growth 5yr,-0.3317946774330056
"Price/Earnings (TTM, GAAP)",7.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6824
Operating Profit Margin (TTM),0.0804
Net Profit Margin (TTM),0.0401
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.10460000000000001
EPS Growth (TTM),1.0559
Revenue Growth (MRQ),-0.0121
Revenue Growth (TTM),0.22760000000000002
Return On Equity (TTM),0.0534
Return On Assets (TTM),0.0173
Return On Investment (TTM),0.0206
Revenue Per Employee (TTM),203936.0
Total Debt/Total Capital (MRQ),0.5874
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.99
Interest Coverage (MRQ),2.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
marketEdge opinion,
marketEdge,
researchTeam since,2022-11-17 00:00:00
theStreet since,2022-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
marketEdge since,
