,GEVO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),756.06,7.57,Valuation,99.87582562747687
Price/Book (MRQ),0.83,4.65,Valuation,0.17849462365591395
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),-21.956100000000003,0.35119999999999996,Profitability,-62.51736902050116
Operating Profit Margin (TTM),-134.8202,0.192,Profitability,-702.1885416666667
Net Profit Margin (TTM),-130.3114,0.0358,Profitability,-3639.983240223464
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-1.9495,2.3421000000000003,Gowth rates,-0.8323726570172066
EPS Growth (TTM),-0.113,7.2215,Gowth rates,-0.015647718618015647
Revenue Growth (MRQ),2.4719,0.7168000000000001,Gowth rates,3.448521205357143
Revenue Growth (TTM),-0.32280000000000003,47.807,Gowth rates,-0.006752149266843768
Return On Equity (TTM),-0.15050000000000002,0.3993,Effectiveness,-0.3769095917856249
Return On Assets (TTM),-0.12689999999999999,0.15810000000000002,Effectiveness,-0.8026565464895634
Return On Investment (TTM),-0.1311,0.2237,Effectiveness,-0.5860527492177022
Revenue Per Employee (TTM),6909.09,7554984.0,Effectiveness,0.0009145075621602905
Total Debt/Total Capital (MRQ),0.1208,0.3658,Financial strength,0.3302351011481684
Change in Debt/Total Capital Quarter over Quarter,-0.0011,-0.002,Financial strength,0.55
Quick Ratio (MRQ),24.25,0.96,Financial strength,25.260416666666668
Interest Coverage (MRQ),-26.57,13.28,Financial strength,-2.0007530120481927
