,GEVO
% Above Low,0.2111
% Held by Institutions,0.49200000000000005
52-Wk Range,['1.80 - 6.30']
Annual Dividend $,
Annual Dividend %,
Ask,2.2
Ask Size,1100.0
B/A Ratio,0.36363636363636365
B/A Size,400x1100
Beta,3.1
Bid,2.18
Bid Size,400.0
Closing Price,2.18
Day Change $,0.08
Day Change %,0.0381
Day High,2.2
Day Low,2.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),225.0
Last (time),1:00p ET 11/25/22
Market Cap,517.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.1
Short Interest,0.2043
Today's Open,2.07
Volume,2652234.0
Volume 10-day Avg,7038701.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.03333333333333344
Growth 1yr High Est,-0.07407407407407418
Growth 1yr Consensus Est,-0.020370370370370372
Growth 2yr Low Est,-0.01559139784946234
Growth 2yr High Est,-0.1170370370370371
Growth 2yr Consensus Est,-0.06631421744324972
Growth 5yr Low Est,-0.22641494578665586
Growth 5yr High Est,-0.28027584069425077
Growth 5yr Consensus Est,-0.2533453932404533
Growth 5yr Actual/Est,-0.35309998476378
Growth 3yr Historic,-0.31857617523997045
Price/Earnings (TTM),
Price/Sales (TTM),756.0576
Price/Book (MRQ),0.82751
Price/Cash Flow (TTM),
5yr Low,0.46
5yr High,24.74
5yr Avg Return,-0.07226666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.5175874
Dividend Growth 5yr,
Short Int Current Month,46929760.0
Short Int Prev Month,48163874.0
Short Int Pct of Float,0.2042998
Days to Cover,5.44817
Float,230.1546
Shares Outstanding,237.2217
Institutions Holding Shares,187.0
FCF Growth 5yr,0.18703916669032947
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-21.956100000000003
Operating Profit Margin (TTM),-134.8202
Net Profit Margin (TTM),-130.3114
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9495
EPS Growth (TTM),-0.113
Revenue Growth (MRQ),2.4719
Revenue Growth (TTM),-0.32280000000000003
Return On Equity (TTM),-0.15050000000000002
Return On Assets (TTM),-0.12689999999999999
Return On Investment (TTM),-0.1311
Revenue Per Employee (TTM),6909.09
Total Debt/Total Capital (MRQ),0.1208
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),24.25
Interest Coverage (MRQ),-26.57
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2012-05-02 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
