,FAF
% Above Low,0.2536
% Held by Institutions,0.8367
52-Wk Range,['43.54 - 81.54']
Annual Dividend $,2.08
Annual Dividend %,0.0381
Ask,56.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,43.55
Bid Size,100.0
Closing Price,54.58
Day Change $,0.62
Day Change %,0.0115
Day High,54.74
Day Low,54.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.24
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.319
Last (size),1200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,53.96
Short Interest,0.0262
Today's Open,54.0
Volume,165125.0
Volume 10-day Avg,487637.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.06509945750452073
Growth 1yr High Est,0.09490333919156413
Growth 1yr Consensus Est,0.08000139834804243
Growth 2yr Low Est,-0.013290678718028248
Growth 2yr High Est,0.020966918391929712
Growth 2yr Consensus Est,0.003838119836950732
Growth 5yr Low Est,-0.008860452478685499
Growth 5yr High Est,0.013977945594619809
Growth 5yr Consensus Est,0.0025587465579671544
Growth 5yr Actual/Est,0.03206894708510022
Growth 3yr Historic,0.11131578109072376
Price/Earnings (TTM),12.87049
Price/Sales (TTM),0.68146
Price/Book (MRQ),1.25674
Price/Cash Flow (TTM),8.89698
5yr Low,29.36
5yr High,81.54
5yr Avg Return,0.03878333333333332
EPS Growth 5yr,0.2927272
Revenue Growth 5yr,0.10584289999999999
Dividend Growth 5yr,0.106428
Short Int Current Month,2589453.0
Short Int Prev Month,2872857.0
Short Int Pct of Float,0.0262095
Days to Cover,3.93386
Float,99.92908
Shares Outstanding,103.5417
Institutions Holding Shares,481.0
FCF Growth 5yr,-12.301244587363568
"Price/Earnings (TTM, GAAP)",12.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0825
Net Profit Margin (TTM),0.056900000000000006
Annual Dividend Yield,0.0381
Dividend Change %,0.08990000000000001
"Dividend Growth Rate, 3 Years",0.0663
EPS Growth (MRQ),-0.9812000000000001
EPS Growth (TTM),-0.6249
Revenue Growth (MRQ),-0.11539999999999999
Revenue Growth (TTM),-0.0785
Return On Equity (TTM),0.0928
Return On Assets (TTM),0.028399999999999998
Return On Investment (TTM),
Revenue Per Employee (TTM),373002.0
Total Debt/Total Capital (MRQ),0.305
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.88
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-03 00:00:00
researchTeam since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
