,EAT
Price/Earnings (TTM),21.35164
Price/Sales (TTM),0.39471
Price/Book (MRQ),
Price/Cash Flow (TTM),6.35465
5yr Low,7.0
5yr High,78.33
5yr Avg Return,0.0349
EPS Growth 5yr,-0.026056499999999996
Revenue Growth 5yr,0.0384012
Dividend Growth 5yr,
Short Int Current Month,4168251.0
Short Int Prev Month,4221872.0
Short Int Pct of Float,0.0969448
Days to Cover,4.20698
Float,43.08635
Shares Outstanding,44.03163
Institutions Holding Shares,277.0
% Held by Institutions,1.046337
FCF Growth 5yr,0.28579305852346165
