,EAT
% Below High,0.2094
% Held by Institutions,1.0463
52-Wk Range,['21.47 - 44.03']
Annual Dividend $,
Annual Dividend %,
Ask,36.0
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.3
Bid,33.98
Bid Size,200.0
Closing Price,34.81
Day Change $,0.21
Day Change %,0.0060999999999999995
Day High,34.87
Day Low,34.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.63
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.35
Prev Close,34.6
Short Interest,0.0969
Today's Open,34.76
Volume,257003.0
Volume 10-day Avg,734811.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.19512195121951226
Growth 1yr High Est,-0.1515151515151515
Growth 1yr Consensus Est,-0.17331855136733187
Growth 2yr Low Est,0.05611867806989751
Growth 2yr High Est,0.21888528138528146
Growth 2yr Consensus Est,0.13750197972758949
Growth 5yr Low Est,0.027277316911463217
Growth 5yr High Est,0.13517083275147793
Growth 5yr Consensus Est,0.08122407483147058
Growth 5yr Actual/Est,0.2725602489465848
Growth 3yr Historic,0.20373650472334684
Price/Earnings (TTM),21.35164
Price/Sales (TTM),0.39471
Price/Book (MRQ),
Price/Cash Flow (TTM),6.35465
5yr Low,7.0
5yr High,78.33
5yr Avg Return,0.0349
EPS Growth 5yr,-0.026056499999999996
Revenue Growth 5yr,0.0384012
Dividend Growth 5yr,
Short Int Current Month,4168251.0
Short Int Prev Month,4221872.0
Short Int Pct of Float,0.0969448
Days to Cover,4.20698
Float,43.08635
Shares Outstanding,44.03163
Institutions Holding Shares,277.0
FCF Growth 5yr,0.28579305852346165
"Price/Earnings (TTM, GAAP)",21.35
"PEG Ratio (TTM, GAAP)",2.75
Gross Profit Margin (TTM),0.1184
Operating Profit Margin (TTM),0.0294
Net Profit Margin (TTM),0.0191
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7598
EPS Growth (TTM),-0.4252
Revenue Growth (MRQ),-0.0646
Revenue Growth (TTM),0.1178
Return On Equity (TTM),
Return On Assets (TTM),0.030699999999999998
Return On Investment (TTM),0.04
Revenue Per Employee (TTM),62607.0
Total Debt/Total Capital (MRQ),1.3995
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.3
Interest Coverage (MRQ),-1.2
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-02-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2018-08-16 00:00:00
