,HEES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.7,17.46,Valuation,0.8419243986254294
Price/Sales (TTM),1.3,2.11,Valuation,0.6161137440758294
Price/Book (MRQ),4.26,6.17,Valuation,0.6904376012965964
"PEG Ratio (TTM, GAAP)",0.47,0.31,Valuation,1.5161290322580645
Gross Profit Margin (TTM),0.43829999999999997,0.42710000000000004,Profitability,1.0262233668929992
Operating Profit Margin (TTM),0.16280000000000003,0.14730000000000001,Profitability,1.1052274270196878
Net Profit Margin (TTM),0.0889,0.0835,Profitability,1.0646706586826347
Annual Dividend Yield,0.0262,0.0125,Dividend,2.096
Dividend Change %,0.0,0.053099999999999994,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0517,Dividend,0.0
EPS Growth (MRQ),0.3765,0.4814,Gowth rates,0.7820938928126299
EPS Growth (TTM),9.1166,0.5656,Gowth rates,16.11845827439887
Revenue Growth (MRQ),0.1005,0.1985,Gowth rates,0.5062972292191436
Revenue Growth (TTM),0.25420000000000004,0.2242,Gowth rates,1.1338090990187333
Return On Equity (TTM),0.3379,0.3129,Effectiveness,1.0798977309044422
Return On Assets (TTM),0.0488,0.1319,Effectiveness,0.3699772554965884
Return On Investment (TTM),0.0591,0.17420000000000002,Effectiveness,0.3392652123995407
Revenue Per Employee (TTM),543650.0,1897425.0,Effectiveness,0.28651988879665863
Total Debt/Total Capital (MRQ),0.7765000000000001,0.4449,Financial strength,1.7453360305686672
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0005,Financial strength,-1.4000000000000001
Quick Ratio (MRQ),,1.09,Financial strength,
Interest Coverage (MRQ),4.72,26.1,Financial strength,0.18084291187739462
