,HEES
% Below High,0.1103
% Held by Institutions,0.7445999999999999
52-Wk Range,['26.12 - 47.13']
Annual Dividend $,1.1
Annual Dividend %,0.0262
Ask,47.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,2.1
Bid,41.25
Bid Size,100.0
Closing Price,41.93
Day Change $,-0.325
Day Change %,-0.0077
Day High,42.26
Day Low,41.6
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.49700000000000005
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.7
Prev Close,42.26
Short Interest,0.0152
Today's Open,42.17
Volume,58069.0
Volume 10-day Avg,159902.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07301587301587298
Growth 2yr High Est,0.5555555555555554
Growth 2yr Consensus Est,0.31428571428571417
Growth 5yr Low Est,0.07301587301587298
Growth 5yr High Est,0.5555555555555554
Growth 5yr Consensus Est,0.31428571428571417
Growth 5yr Actual/Est,0.20788510903312563
Growth 3yr Historic,-0.020929323956565105
Price/Earnings (TTM),14.69583
Price/Sales (TTM),1.29833
Price/Book (MRQ),4.25601
Price/Cash Flow (TTM),3.96885
5yr Low,9.12
5yr High,50.69
5yr Avg Return,0.09788333333333332
EPS Growth 5yr,0.0966159
Revenue Growth 5yr,0.016740500000000002
Dividend Growth 5yr,0.0
Short Int Current Month,482982.0
Short Int Prev Month,643526.0
Short Int Pct of Float,0.0152263
Days to Cover,2.16526
Float,31.72021
Shares Outstanding,36.31019
Institutions Holding Shares,230.0
FCF Growth 5yr,1.5108347555939396
"Price/Earnings (TTM, GAAP)",14.7
"PEG Ratio (TTM, GAAP)",0.47
Gross Profit Margin (TTM),0.43829999999999997
Operating Profit Margin (TTM),0.16280000000000003
Net Profit Margin (TTM),0.0889
Annual Dividend Yield,0.0262
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.3765
EPS Growth (TTM),9.1166
Revenue Growth (MRQ),0.1005
Revenue Growth (TTM),0.25420000000000004
Return On Equity (TTM),0.3379
Return On Assets (TTM),0.0488
Return On Investment (TTM),0.0591
Revenue Per Employee (TTM),543650.0
Total Debt/Total Capital (MRQ),0.7765000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.72
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-29 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
