,ENTA
% Above Low,0.1061
% Held by Institutions,0.9409000000000001
52-Wk Range,['37.59 - 92.90']
Annual Dividend $,
Annual Dividend %,
Ask,65.31
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.5
Bid,24.44
Bid Size,300.0
Closing Price,41.58
Day Change $,-3.42
Day Change %,-0.076
Day High,45.89
Day Low,40.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.91
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,858.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,45.0
Short Interest,0.0513
Today's Open,44.47
Volume,138732.0
Volume 10-day Avg,171587.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.744
Growth 1yr High Est,-1.1509769094138544
Growth 1yr Consensus Est,-0.20348845470692722
Growth 2yr Low Est,0.22016513761467887
Growth 2yr High Est,4.100982133528367
Growth 2yr Consensus Est,2.160573635571523
Growth 5yr Low Est,0.30020354968704444
Growth 5yr High Est,2.969341624372447
Growth 5yr Consensus Est,1.6347725870297456
Growth 5yr Actual/Est,0.23268897081934295
Growth 3yr Historic,0.4183497293945202
Price/Earnings (TTM),
Price/Sales (TTM),10.03667
Price/Book (MRQ),2.68176
Price/Cash Flow (TTM),
5yr Low,37.59
5yr High,127.77
5yr Avg Return,0.0704333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0347258
Dividend Growth 5yr,
Short Int Current Month,998349.0
Short Int Prev Month,1044921.0
Short Int Pct of Float,0.0513368
Days to Cover,5.11049
Float,19.51203
Shares Outstanding,20.79749
Institutions Holding Shares,238.0
FCF Growth 5yr,0.6740727970016734
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.4374
Net Profit Margin (TTM),-1.4131
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1706
EPS Growth (TTM),-0.5107
Revenue Growth (MRQ),0.043
Revenue Growth (TTM),-0.1124
Return On Equity (TTM),-0.3379
Return On Assets (TTM),-0.29910000000000003
Return On Investment (TTM),-0.32549999999999996
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0044
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-11-24 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-24 00:00:00
