,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report,Q4 2021
high,59.88,127.77,106.8,62.12,102.0,79.5,,,,,,
low,47.01,52.39,57.15,38.4,40.37,37.59,,,,,,
change,0.21670000000000003,0.2841,-0.10980000000000001,-0.322,0.8013,-0.44770000000000004,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,,99068.0,40989.0,28367.0,43994.0,Balance Sheet,
Short Term Investments,,,,,,,159984.0,239338.0,224921.0,205238.0,Balance Sheet,
Cash and Short Term Invs,,,,,,,259052.0,280327.0,253288.0,249232.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,27648.0,18716.0,19479.0,20318.0,Balance Sheet,
Other Receivables,,,,,,,28751.0,28748.0,28728.0,28718.0,Balance Sheet,
"Total Receivables, Net",,,,,,,56399.0,47464.0,48207.0,49036.0,Balance Sheet,
Prepaid Expenses,,,,,,,11506.0,14078.0,11540.0,13445.0,Balance Sheet,
Total Current Assets,,,,,,,326957.0,341869.0,313035.0,311713.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,24269.0,22031.0,28081.0,29748.0,Balance Sheet,
Long Term Investments,,,,,,,88668.0,42218.0,39427.0,29285.0,Balance Sheet,
Other Long Term Assets,,,,,,,92.0,92.0,703.0,696.0,Balance Sheet,
Total Assets,,,,,,,440594.0,406818.0,385214.0,375410.0,Balance Sheet,
Accounts Payable,,,,,,,7841.0,5985.0,1245.0,6000.0,Balance Sheet,
Accrued Expenses,,,,,,,30049.0,24753.0,21790.0,23827.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Total Current Liabilities,,,,,,,37890.0,30738.0,23035.0,29827.0,Balance Sheet,
Total Long Term Debt,,,,,,,1506.0,1506.0,1506.0,1423.0,Balance Sheet,
Total Debt,,,,,,,1506.0,1506.0,1506.0,1423.0,Balance Sheet,
Reserves,,,,,,,336.0,346.0,354.0,,Balance Sheet,
Other LT Liabilities,,,,,,,16478.0,15645.0,22296.0,22826.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,16814.0,15991.0,22650.0,22826.0,Balance Sheet,
Total Liabilities,,,,,,,56210.0,48235.0,47191.0,54076.0,Balance Sheet,
Common Stock,,,,,,,205.0,206.0,207.0,,Balance Sheet,
Additional Paid-In Capital,,,,,,,366724.0,376545.0,388267.0,,Balance Sheet,
