,ENTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),10.04,45.03,Valuation,0.22296246946480122
Price/Book (MRQ),2.68,12.61,Valuation,0.2125297383029342
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.4374,-4.7459,Profitability,0.30287195263279887
Net Profit Margin (TTM),-1.4131,-4.5467,Profitability,0.3107968416653837
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1706,-0.0014000000000000002,Gowth rates,-121.85714285714285
EPS Growth (TTM),-0.5107,0.027200000000000002,Gowth rates,-18.77573529411765
Revenue Growth (MRQ),0.043,1.3963999999999999,Gowth rates,0.030793468920080207
Revenue Growth (TTM),-0.1124,0.9747,Gowth rates,-0.11531753360008208
Return On Equity (TTM),-0.3379,0.1967,Effectiveness,-1.717844433146924
Return On Assets (TTM),-0.29910000000000003,0.0016,Effectiveness,-186.9375
Return On Investment (TTM),-0.32549999999999996,0.0219,Effectiveness,-14.863013698630136
Revenue Per Employee (TTM),,1476201.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0044,0.4675,Financial strength,0.009411764705882352
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0036,Financial strength,0.2777777777777778
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
