,CHD
% Above Low,0.1244
% Held by Institutions,0.821
52-Wk Range,['70.16 - 105.28']
Annual Dividend $,1.05
Annual Dividend %,0.013300000000000001
Ask,87.1
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.4
Bid,67.5
Bid Size,100.0
Closing Price,78.89
Day Change $,0.32
Day Change %,0.0040999999999999995
Day High,78.94
Day Low,78.18
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.98
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.253
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,19.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.44
Prev Close,78.57
Short Interest,0.0163
Today's Open,78.94
Volume,495661.0
Volume 10-day Avg,1403157.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.013513513513513487
Growth 1yr High Est,-0.0066225165562914245
Growth 1yr Consensus Est,-0.010068015034902456
Growth 2yr Low Est,-0.010181414291003332
Growth 2yr High Est,0.03835540838852092
Growth 2yr Consensus Est,0.014086997048758793
Growth 5yr Low Est,0.0437478526686679
Growth 5yr High Est,0.06789130051321007
Growth 5yr Consensus Est,0.05581957659093899
Growth 5yr Actual/Est,0.06183377693464456
Growth 3yr Historic,0.05322169926038256
Price/Earnings (TTM),26.43634
Price/Sales (TTM),3.62428
Price/Book (MRQ),5.19741
Price/Cash Flow (TTM),20.21942
5yr Low,44.87
5yr High,105.28
5yr Avg Return,0.1162
EPS Growth 5yr,0.1361494
Revenue Growth 5yr,0.0824129
Dividend Growth 5yr,0.07303180000000001
Short Int Current Month,3965318.0
Short Int Prev Month,4048365.0
Short Int Pct of Float,0.0162917
Days to Cover,2.22452
Float,243.4265
Shares Outstanding,243.8683
Institutions Holding Shares,1211.0
FCF Growth 5yr,0.24784323563777866
"Price/Earnings (TTM, GAAP)",26.44
"PEG Ratio (TTM, GAAP)",7.09
Gross Profit Margin (TTM),0.41990000000000005
Operating Profit Margin (TTM),0.1832
Net Profit Margin (TTM),0.1388
Annual Dividend Yield,0.013300000000000001
Dividend Change %,0.0521
"Dividend Growth Rate, 3 Years",0.051
EPS Growth (MRQ),0.0016
EPS Growth (TTM),-0.0883
Revenue Growth (MRQ),-0.0059
Revenue Growth (TTM),0.0374
Return On Equity (TTM),0.2046
Return On Assets (TTM),0.094
Return On Investment (TTM),0.11660000000000001
Revenue Per Employee (TTM),1040843.0
Total Debt/Total Capital (MRQ),0.4048
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),13.72
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-03 00:00:00
cfra since,2022-10-03 00:00:00
ford since,2020-10-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2009-08-23 00:00:00
