,VRAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),9.66,9.8,Valuation,0.9857142857142857
Price/Book (MRQ),8.13,10.31,Valuation,0.7885548011639185
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.0618,0.6196,Profitability,0.09974176888315041
Operating Profit Margin (TTM),-1.2557,0.047,Profitability,-26.717021276595744
Net Profit Margin (TTM),-1.2125000000000001,0.009300000000000001,Profitability,-130.3763440860215
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.057800000000000004,-0.4858,Gowth rates,-0.1189790037052285
EPS Growth (TTM),0.129,-0.2029,Gowth rates,-0.6357811729916215
Revenue Growth (MRQ),0.196,0.1161,Gowth rates,1.6881998277347117
Revenue Growth (TTM),0.2891,0.18300000000000002,Gowth rates,1.5797814207650271
Return On Equity (TTM),-0.9601999999999999,0.1068,Effectiveness,-8.990636704119849
Return On Assets (TTM),-0.4097,0.0622,Effectiveness,-6.586816720257235
Return On Investment (TTM),-0.564,0.0732,Effectiveness,-7.7049180327868845
Revenue Per Employee (TTM),329221.0,403586.0,Effectiveness,0.8157393963120624
Total Debt/Total Capital (MRQ),0.35990000000000005,0.3161,Financial strength,1.138563745650111
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0125,Financial strength,0.016
Quick Ratio (MRQ),2.18,2.25,Financial strength,0.9688888888888889
Interest Coverage (MRQ),-24.68,14.99,Financial strength,-1.646430953969313
