,BOOT
% Above Low,0.2677
% Held by Institutions,1.0609
52-Wk Range,['50.20 - 131.02']
Annual Dividend $,
Annual Dividend %,
Ask,74.96
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,2.3
Bid,50.0
Bid Size,100.0
Closing Price,63.64
Day Change $,-0.71
Day Change %,-0.011000000000000001
Day High,66.09
Day Low,63.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.1
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.44
Prev Close,64.35
Short Interest,0.0834
Today's Open,65.14
Volume,251553.0
Volume 10-day Avg,628911.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.19166666666666676
Growth 1yr High Est,-0.06645569620253167
Growth 1yr Consensus Est,-0.12906118143459921
Growth 2yr Low Est,-0.1009879725085911
Growth 2yr High Est,0.052365372237717145
Growth 2yr Consensus Est,-0.024311300135436975
Growth 5yr Low Est,0.6488731023532993
Growth 5yr High Est,0.6395706642609351
Growth 5yr Consensus Est,0.6442218833071172
Growth 5yr Actual/Est,0.5790490575434447
Growth 3yr Historic,0.5882116364286354
Price/Earnings (TTM),10.44057
Price/Sales (TTM),1.19576
Price/Book (MRQ),2.81506
Price/Cash Flow (TTM),8.75962
5yr Low,8.03
5yr High,134.5
5yr Avg Return,0.5395499999999999
EPS Growth 5yr,0.6441857
Revenue Growth 5yr,0.1876618
Dividend Growth 5yr,
Short Int Current Month,2472433.0
Short Int Prev Month,2959546.0
Short Int Pct of Float,0.08342269999999999
Days to Cover,3.04498
Float,29.63864
Shares Outstanding,29.81148
Institutions Holding Shares,346.0
FCF Growth 5yr,-0.6640984909463178
"Price/Earnings (TTM, GAAP)",10.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.38280000000000003
Operating Profit Margin (TTM),0.1583
Net Profit Margin (TTM),0.1168
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.18280000000000002
EPS Growth (TTM),0.38280000000000003
Revenue Growth (MRQ),-0.0391
Revenue Growth (TTM),0.3443
Return On Equity (TTM),0.3208
Return On Assets (TTM),0.1469
Return On Investment (TTM),0.2104
Revenue Per Employee (TTM),721188.0
Total Debt/Total Capital (MRQ),0.1952
Change in Debt/Total Capital Quarter over Quarter,0.0070999999999999995
Quick Ratio (MRQ),0.15
Interest Coverage (MRQ),32.42
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-01 00:00:00
