,BOOT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.44,19.03,Valuation,0.5486074619022595
Price/Sales (TTM),1.2,1.93,Valuation,0.6217616580310881
Price/Book (MRQ),2.82,92.12,Valuation,0.03061224489795918
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.38280000000000003,0.34390000000000004,Profitability,1.1131142774062226
Operating Profit Margin (TTM),0.1583,0.11789999999999999,Profitability,1.342663273960984
Net Profit Margin (TTM),0.1168,0.0818,Profitability,1.427872860635697
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.18280000000000002,-0.10800000000000001,Gowth rates,1.6925925925925926
EPS Growth (TTM),0.38280000000000003,0.0262,Gowth rates,14.610687022900764
Revenue Growth (MRQ),-0.0391,0.0478,Gowth rates,-0.8179916317991632
Revenue Growth (TTM),0.3443,0.0874,Gowth rates,3.9393592677345537
Return On Equity (TTM),0.3208,5.2054,Effectiveness,0.06162830906366465
Return On Assets (TTM),0.1469,0.1562,Effectiveness,0.940460947503201
Return On Investment (TTM),0.2104,0.26,Effectiveness,0.8092307692307692
Revenue Per Employee (TTM),721188.0,410011.0,Effectiveness,1.7589479306652749
Total Debt/Total Capital (MRQ),0.1952,0.8926999999999999,Financial strength,0.21866248459728915
Change in Debt/Total Capital Quarter over Quarter,0.0070999999999999995,0.0016,Financial strength,4.437499999999999
Quick Ratio (MRQ),0.15,0.39,Financial strength,0.3846153846153846
Interest Coverage (MRQ),32.42,13.36,Financial strength,2.4266467065868267
