,ARNC
% Above Low,0.3754
% Held by Institutions,0.9431
52-Wk Range,['16.33 - 35.74']
Annual Dividend $,
Annual Dividend %,
Ask,24.5
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,
Bid,22.22
Bid Size,300.0
Closing Price,22.46
Day Change $,-0.23
Day Change %,-0.0101
Day High,22.9
Day Low,22.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.48
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",47.11
Prev Close,22.69
Short Interest,0.023799999999999998
Today's Open,22.65
Volume,295642.0
Volume 10-day Avg,805252.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.68141592920354
Growth 2yr High Est,0.45789473684210535
Growth 2yr Consensus Est,0.5696553330228227
Growth 5yr Low Est,0.68141592920354
Growth 5yr High Est,0.45789473684210535
Growth 5yr Consensus Est,0.5696553330228227
Growth 5yr Actual/Est,0.42268992152512425
Growth 3yr Historic,0.6833333333333332
Price/Earnings (TTM),47.11163
Price/Sales (TTM),0.24892
Price/Book (MRQ),1.41223
Price/Cash Flow (TTM),7.5475
5yr Low,5.8
5yr High,38.49
5yr Avg Return,0.2494666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0241196
Dividend Growth 5yr,
Short Int Current Month,2395302.0
Short Int Prev Month,2703148.0
Short Int Pct of Float,0.0238284
Days to Cover,2.51199
Float,100.5184
Shares Outstanding,101.4846
Institutions Holding Shares,355.0
FCF Growth 5yr,-0.6513903100749271
"Price/Earnings (TTM, GAAP)",47.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1059
Operating Profit Margin (TTM),0.024700000000000003
Net Profit Margin (TTM),0.0059
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.5891
EPS Growth (TTM),1.1233
Revenue Growth (MRQ),-0.1052
Revenue Growth (TTM),0.3411
Total Debt/Total Capital (MRQ),0.5173
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),1.9
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-24 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-10-14 00:00:00
