,GD
% Below High,0.0048
% Held by Institutions,0.8087000000000001
52-Wk Range,['188.64 - 254.99']
Annual Dividend $,5.04
Annual Dividend %,0.0199
Ask,300.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,240.01
Bid Size,200.0
Closing Price,253.77
Day Change $,1.48
Day Change %,0.0059
Day High,253.98
Day Low,252.45
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",12.01
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.24
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,69.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.13
Prev Close,252.29
Short Interest,0.008199999999999999
Today's Open,253.48
Volume,368383.0
Volume 10-day Avg,951922.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.05240174672489095
Growth 1yr High Est,0.05431034482758634
Growth 1yr Consensus Est,0.05335604577623865
Growth 2yr Low Est,0.08346228415082713
Growth 2yr High Est,0.12118624355034258
Growth 2yr Consensus Est,0.10232426385058485
Growth 5yr Low Est,0.036323839250897605
Growth 5yr High Est,0.05292544794646345
Growth 5yr Consensus Est,0.04462464359868053
Growth 5yr Actual/Est,0.0434724489385743
Growth 3yr Historic,-0.007950751252086802
Price/Earnings (TTM),21.13318
Price/Sales (TTM),1.79346
Price/Book (MRQ),3.94721
Price/Cash Flow (TTM),16.45154
5yr Low,100.55
5yr High,254.99
5yr Avg Return,0.06085000000000001
EPS Growth 5yr,0.059972700000000004
Revenue Growth 5yr,0.047101199999999996
Dividend Growth 5yr,0.0947428
Short Int Current Month,2246588.0
Short Int Prev Month,2191610.0
Short Int Pct of Float,0.0082312
Days to Cover,1.94927
Float,273.2774
Shares Outstanding,274.549
Institutions Holding Shares,1710.0
FCF Growth 5yr,0.08099255078048857
"Price/Earnings (TTM, GAAP)",21.13
"PEG Ratio (TTM, GAAP)",1.97
Gross Profit Margin (TTM),0.1688
Operating Profit Margin (TTM),0.1073
Net Profit Margin (TTM),0.0862
Annual Dividend Yield,0.0199
Dividend Change %,0.081
"Dividend Growth Rate, 3 Years",0.0876
EPS Growth (MRQ),0.18850000000000003
EPS Growth (TTM),0.031000000000000003
Revenue Growth (MRQ),0.0855
Revenue Growth (TTM),0.0049
Return On Equity (TTM),0.20079999999999998
Return On Assets (TTM),0.0654
Return On Investment (TTM),0.0928
Revenue Per Employee (TTM),376799.0
Total Debt/Total Capital (MRQ),0.3943
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),12.77
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-12-18 00:00:00
researchTeam since,2021-12-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-26 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
