,FDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.99,13.38,Valuation,0.9708520179372196
Price/Sales (TTM),0.49,1.22,Valuation,0.4016393442622951
Price/Book (MRQ),1.83,7.06,Valuation,0.25920679886685555
"PEG Ratio (TTM, GAAP)",1.4,0.26,Valuation,5.384615384615384
Gross Profit Margin (TTM),0.6818000000000001,0.6511,Profitability,1.0471509752726156
Operating Profit Margin (TTM),0.0637,0.1135,Profitability,0.5612334801762114
Net Profit Margin (TTM),0.0379,0.0883,Profitability,0.4292185730464326
Annual Dividend Yield,0.026000000000000002,0.027999999999999997,Dividend,0.9285714285714287
Dividend Change %,0.15380000000000002,0.0452,Dividend,3.4026548672566377
"Dividend Growth Rate, 3 Years",0.0489,0.0426,Dividend,1.147887323943662
EPS Growth (MRQ),0.5589000000000001,0.0582,Gowth rates,9.603092783505156
EPS Growth (TTM),-0.23870000000000002,0.5186999999999999,Gowth rates,-0.4601889338731445
Revenue Growth (MRQ),-0.0472,0.04730000000000001,Gowth rates,-0.9978858350951372
Revenue Growth (TTM),0.0936,17.6805,Gowth rates,0.005293967930771189
Return On Equity (TTM),0.1449,0.5842,Effectiveness,0.2480314960629921
Return On Assets (TTM),0.042800000000000005,0.1412,Effectiveness,0.30311614730878195
Return On Investment (TTM),0.050800000000000005,0.1973,Effectiveness,0.25747592498732896
Revenue Per Employee (TTM),496079.0,391503.0,Effectiveness,1.2671141728160449
Total Debt/Total Capital (MRQ),0.44380000000000003,0.47490000000000004,Financial strength,0.9345125289534638
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.0008,Financial strength,0.8750000000000001
Quick Ratio (MRQ),1.38,0.26,Financial strength,5.3076923076923075
Interest Coverage (MRQ),8.65,15.24,Financial strength,0.5675853018372704
