,FDX
% Above Low,0.2451
% Held by Institutions,0.7203
52-Wk Range,['141.92 - 266.79']
Annual Dividend $,4.6
Annual Dividend %,0.026000000000000002
Ask,176.99
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.3
Bid,176.22
Bid Size,500.0
Closing Price,176.7
Day Change $,0.34
Day Change %,0.0019
Day High,177.77
Day Low,176.01
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.6
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.439
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,46.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.99
Prev Close,176.36
Short Interest,0.0232
Today's Open,177.25
Volume,445291.0
Volume 10-day Avg,2486274.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.31239848402815373
Growth 1yr High Est,-0.20376470588235285
Growth 1yr Consensus Est,-0.2580815949552533
Growth 2yr Low Est,-0.1601362498880926
Growth 2yr High Est,0.06448880545125857
Growth 2yr Consensus Est,-0.04782372221841702
Growth 5yr Low Est,-0.06559772701379736
Growth 5yr High Est,0.0921286060819766
Growth 5yr Consensus Est,0.013265439534089615
Growth 5yr Actual/Est,0.24984758634320017
Growth 3yr Historic,0.2617297164209368
Price/Earnings (TTM),12.99001
Price/Sales (TTM),0.48528
Price/Book (MRQ),1.82899
Price/Cash Flow (TTM),6.04057
5yr Low,88.69
5yr High,319.9
5yr Avg Return,0.019016666666666668
EPS Growth 5yr,0.053088699999999996
Revenue Growth 5yr,0.091648
Dividend Growth 5yr,0.1015137
Short Int Current Month,5565137.0
Short Int Prev Month,7883113.0
Short Int Pct of Float,0.023172
Days to Cover,1.70004
Float,240.31
Shares Outstanding,260.2198
Institutions Holding Shares,1861.0
FCF Growth 5yr,0.25200925147736
"Price/Earnings (TTM, GAAP)",12.99
"PEG Ratio (TTM, GAAP)",1.4
Gross Profit Margin (TTM),0.6818000000000001
Operating Profit Margin (TTM),0.0637
Net Profit Margin (TTM),0.0379
Annual Dividend Yield,0.026000000000000002
Dividend Change %,0.15380000000000002
"Dividend Growth Rate, 3 Years",0.0489
EPS Growth (MRQ),0.5589000000000001
EPS Growth (TTM),-0.23870000000000002
Revenue Growth (MRQ),-0.0472
Revenue Growth (TTM),0.0936
Return On Equity (TTM),0.1449
Return On Assets (TTM),0.042800000000000005
Return On Investment (TTM),0.050800000000000005
Revenue Per Employee (TTM),496079.0
Total Debt/Total Capital (MRQ),0.44380000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.38
Interest Coverage (MRQ),8.65
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-13 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-16 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
