,BNFT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.43,9.39,Valuation,0.15228966986155482
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5035000000000001,0.7206,Profitability,0.6987232861504302
Operating Profit Margin (TTM),-0.0371,0.2172,Profitability,-0.17081031307550645
Net Profit Margin (TTM),-0.07400000000000001,0.1553,Profitability,-0.4764971023824856
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.38079999999999997,-0.0752,Gowth rates,-5.063829787234042
EPS Growth (TTM),0.3713,-0.2824,Gowth rates,-1.314801699716714
Revenue Growth (MRQ),-0.006999999999999999,0.15560000000000002,Gowth rates,-0.044987146529562975
Revenue Growth (TTM),-0.0572,0.1906,Gowth rates,-0.3001049317943337
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.0758,0.10740000000000001,Effectiveness,-0.7057728119180633
Return On Investment (TTM),-0.10560000000000001,0.1387,Effectiveness,-0.7613554434030283
Revenue Per Employee (TTM),226460.0,667721.0,Effectiveness,0.3391536285364696
Total Debt/Total Capital (MRQ),1.2689000000000001,0.39659999999999995,Financial strength,3.199445284921836
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0004,Financial strength,5.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-1.98,0.28,Financial strength,-7.07142857142857
