,BNFT
% Below High,0.2057
% Held by Institutions,0.7176
52-Wk Range,['5.69 - 13.06']
Annual Dividend $,
Annual Dividend %,
Ask,10.54
Ask Size,1300.0
B/A Ratio,0.46153846153846156
B/A Size,600x1300
Beta,1.7
Bid,10.33
Bid Size,600.0
Closing Price,10.37
Day Change $,-0.01
Day Change %,-0.001
Day High,10.4
Day Low,10.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.73
Ex-dividend Date,No dividend
Historical Volatility,0.5860000000000001
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,357.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,10.38
Short Interest,0.0225
Today's Open,10.38
Volume,187940.0
Volume 10-day Avg,980593.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4444444444444444
Growth 2yr High Est,5.3
Growth 2yr Consensus Est,2.4277777777777776
Growth 5yr Low Est,-0.4444444444444444
Growth 5yr High Est,5.3
Growth 5yr Consensus Est,2.4277777777777776
Growth 5yr Actual/Est,-0.5365133281573499
Growth 3yr Historic,-0.32937047101449274
Price/Earnings (TTM),
Price/Sales (TTM),1.43289
Price/Book (MRQ),
Price/Cash Flow (TTM),205.375
5yr Low,5.69
5yr High,60.66
5yr Avg Return,-0.07286666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0215238
Dividend Growth 5yr,
Short Int Current Month,651312.0
Short Int Prev Month,1192329.0
Short Int Pct of Float,0.0225423
Days to Cover,0.17879
Float,30.60846
Shares Outstanding,34.42062
Institutions Holding Shares,131.0
FCF Growth 5yr,-0.5662093358982924
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5035000000000001
Operating Profit Margin (TTM),-0.0371
Net Profit Margin (TTM),-0.07400000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.38079999999999997
EPS Growth (TTM),0.3713
Revenue Growth (MRQ),-0.006999999999999999
Revenue Growth (TTM),-0.0572
Return On Equity (TTM),
Return On Assets (TTM),-0.0758
Return On Investment (TTM),-0.10560000000000001
Revenue Per Employee (TTM),226460.0
Total Debt/Total Capital (MRQ),1.2689000000000001
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.98
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2015-05-13 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-05-06 00:00:00
