,VSCO
% Below High,0.2979
% Held by Institutions,0.888
52-Wk Range,['26.14 - 65.20']
Annual Dividend $,
Annual Dividend %,
Ask,48.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,36.0
Bid Size,300.0
Closing Price,45.78
Day Change $,-1.62
Day Change %,-0.0342
Day High,47.67
Day Low,45.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.28
Ex-dividend Date,No dividend
Historical Volatility,0.618
Last (size),12.0
Last (time),7:00p ET 11/28/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",8.99
Prev Close,47.4
Short Interest,0.0724
Today's Open,46.45
Volume,1258202.0
Volume 10-day Avg,871056.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.28253968253968254
Growth 1yr High Est,-0.33333333333333326
Growth 1yr Consensus Est,-0.3079365079365079
Growth 2yr Low Est,-0.12910169967692092
Growth 2yr High Est,-0.057613168724279795
Growth 2yr Consensus Est,-0.09335743420060036
Growth 5yr Low Est,-0.12910169967692092
Growth 5yr High Est,-0.057613168724279795
Growth 5yr Consensus Est,-0.09335743420060036
Growth 5yr Actual/Est,-0.113530360939184
Growth 3yr Historic,0.0
Price/Earnings (TTM),8.98571
Price/Sales (TTM),0.58155
Price/Book (MRQ),15.73603
Price/Cash Flow (TTM),5.14157
5yr Low,26.14
5yr High,76.0
5yr Avg Return,-0.08629999999999999
Short Int Current Month,5244511.0
Short Int Prev Month,5488356.0
Short Int Pct of Float,0.0723611
Days to Cover,4.76262
Float,72.47771
Shares Outstanding,81.24551
Institutions Holding Shares,346.0
FCF Growth 5yr,0.006951131837066267
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",8.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.37570000000000003
Operating Profit Margin (TTM),0.09570000000000001
Net Profit Margin (TTM),0.0701
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1075
EPS Growth (TTM),-0.36479999999999996
Revenue Growth (MRQ),0.024900000000000002
Revenue Growth (TTM),0.0002
Return On Equity (TTM),0.8347
Return On Assets (TTM),0.1063
Return On Investment (TTM),0.1592
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.7848
Change in Debt/Total Capital Quarter over Quarter,0.0063
Quick Ratio (MRQ),0.32
Interest Coverage (MRQ),9.77
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-27 00:00:00
theStreet since,2022-09-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-18 00:00:00
cfra since,
marketEdge opinion since,
