,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,76.0,65.2,,,,,
low,39.79,26.14,,,,,
change,0.0098,-0.18239999999999998,,,,,
Date,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Balance Sheet
Cash,,,,,,0.0,Balance Sheet
Cash & Equivalents,,,331.0,490.0,204.0,201.0,Balance Sheet
Cash and Short Term Invs,,,331.0,490.0,204.0,201.0,Balance Sheet
"Total Receivables, Net",,,145.0,162.0,152.0,149.0,Balance Sheet
Invent. - Finished Goods,,,971.0,898.0,996.0,1020.0,Balance Sheet
Invent. - Raw Materials,,,48.0,51.0,50.0,66.0,Balance Sheet
Total Inventory,,,1019.0,949.0,1046.0,1086.0,Balance Sheet
"Other Curr. Assets, Total",,,114.0,90.0,112.0,116.0,Balance Sheet
Total Current Assets,,,1609.0,1691.0,1514.0,1552.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,3782.0,3795.0,3675.0,3667.0,Balance Sheet
Accumulated Depreciation,,,-2806.0,-2838.0,-2774.0,-2803.0,Balance Sheet
Prop./Plant/Equip. - Net,,,2424.0,2326.0,2200.0,2162.0,Balance Sheet
Intangibles - Net,,,246.0,246.0,246.0,246.0,Balance Sheet
Other Long Term Assets,,,80.0,64.0,88.0,91.0,Balance Sheet
Total Assets,,,4369.0,4344.0,4065.0,4072.0,Balance Sheet
Accounts Payable,,,560.0,538.0,443.0,490.0,Balance Sheet
Accrued Expenses,,,597.0,667.0,550.0,579.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,4.0,4.0,4.0,4.0,Balance Sheet
Customer Advances,,,205.0,250.0,217.0,218.0,Balance Sheet
Income Taxes Payable,,,45.0,126.0,122.0,28.0,Balance Sheet
Other Payables,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,187.0,113.0,115.0,126.0,Balance Sheet
"Other Curr. Lblts, Total",,,437.0,489.0,454.0,372.0,Balance Sheet
Total Current Liabilities,,,1598.0,1698.0,1451.0,1445.0,Balance Sheet
Total Long Term Debt,,,978.0,978.0,977.0,977.0,Balance Sheet
Total Debt,,,982.0,982.0,981.0,981.0,Balance Sheet
Deferred Income Tax,,,107.0,58.0,63.0,60.0,Balance Sheet
Minority Interest,,,0.0,,24.0,22.0,Balance Sheet
"Other Liabilities, Total",,,1434.0,1353.0,1323.0,1321.0,Balance Sheet
Total Liabilities,,,4117.0,4087.0,3838.0,3825.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,,Balance Sheet
Common Stock,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,172.0,125.0,166.0,177.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,72.0,126.0,52.0,65.0,Balance Sheet
Treasury Stock - Common,,,,,,-2.0,Balance Sheet
Cum. Trans. Adjustment,,,7.0,5.0,8.0,6.0,Balance Sheet
Other Comprehensive Income,,,0.0,0.0,0.0,,Balance Sheet
"Other Equity, Total",,,7.0,5.0,8.0,6.0,Balance Sheet
Total Equity,,,252.0,257.0,227.0,247.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,4369.0,4344.0,4065.0,4072.0,Balance Sheet
Ttl Comm. Shares Outs.,,,89.0,85.0,83.0,82.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Income Statement
Total Revenue,,,1441.0,2176.0,1484.0,1521.0,Income Statement
"Cost of Revenue, Total",,,876.0,1323.0,962.0,973.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,454.0,519.0,428.0,421.0,Income Statement
Restructuring Charge,,,3.0,0.0,,29.0,Income Statement
Impair-Assets Held for Use,,,,0.0,,,Income Statement
Unusual Expense (Income),,,3.0,0.0,,29.0,Income Statement
Total Operating Expense,,,1333.0,1842.0,1390.0,1423.0,Income Statement
Total Operating Income,,,108.0,334.0,94.0,98.0,Income Statement
"Inter Expse,Net Non-Operat",,,-12.0,-11.0,-12.0,-13.0,Income Statement
OtherNon-OperatInc (Expnse),,,1.0,0.0,-4.0,-2.0,Income Statement
"Other, Net",,,1.0,0.0,-4.0,-2.0,Income Statement
Income Before Tax,,,97.0,323.0,78.0,83.0,Income Statement
Income Tax - Total,,,22.0,77.0,2.0,16.0,Income Statement
Income After Tax,,,75.0,246.0,76.0,67.0,Income Statement
Minority Interest,,,,,5.0,3.0,Income Statement
Net Inc Before Extra Items,,,75.0,246.0,81.0,70.0,Income Statement
Total Net Income,,,75.0,246.0,81.0,70.0,Income Statement
Income Available to Common Excl. Extra. Items,,,75.0,246.0,81.0,70.0,Income Statement
Income Available to Common Incl. Extra. Items,,,75.0,246.0,81.0,70.0,Income Statement
Basic/Primary Weighted Average Shares,,,88.0,87.0,84.0,83.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.85,2.82,0.96,0.84,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.85,2.82,0.96,0.84,Income Statement
Diluted Weighted Average Shares,,,93.0,91.0,87.0,84.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.81,2.71,0.93,0.83,Income Statement
Diluted EPS Incl. Extra. Items,,,0.81,2.71,0.93,0.83,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,12.0,11.0,12.0,13.0,Income Statement
"Depreciat/Amort, Suppl",,,75.0,70.0,70.0,70.0,Income Statement
Total Special Items,,,3.0,0.0,,29.0,Income Statement
Normalzd Income Before Tax,,,100.0,323.0,78.0,112.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,1.0,0.0,,6.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,23.0,77.0,2.0,22.0,Income Statement
Normalized Income After Tax,,,77.0,246.0,76.0,90.0,Income Statement
Normalzd Inc Avail to Common,,,77.0,246.0,81.0,93.0,Income Statement
Basic Normalized EPS,,,0.88,2.82,0.96,1.12,Income Statement
Diluted Normalized EPS,,,0.84,2.71,0.93,1.11,Income Statement
