,VSCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.99,19.03,Valuation,0.4724119810825013
Price/Sales (TTM),0.58,1.93,Valuation,0.3005181347150259
Price/Book (MRQ),15.74,92.12,Valuation,0.17086409031697786
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.37570000000000003,0.34390000000000004,Profitability,1.092468740913056
Operating Profit Margin (TTM),0.09570000000000001,0.11789999999999999,Profitability,0.8117048346055981
Net Profit Margin (TTM),0.0701,0.0818,Profitability,0.8569682151589242
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.1075,-0.10800000000000001,Gowth rates,0.9953703703703702
EPS Growth (TTM),-0.36479999999999996,0.0262,Gowth rates,-13.923664122137403
Revenue Growth (MRQ),0.024900000000000002,0.0478,Gowth rates,0.5209205020920502
Revenue Growth (TTM),0.0002,0.0874,Gowth rates,0.002288329519450801
Return On Equity (TTM),0.8347,5.2054,Effectiveness,0.16035271064663617
Return On Assets (TTM),0.1063,0.1562,Effectiveness,0.6805377720870679
Return On Investment (TTM),0.1592,0.26,Effectiveness,0.6123076923076923
Revenue Per Employee (TTM),,410011.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.7848,0.8926999999999999,Financial strength,0.8791307270079535
Change in Debt/Total Capital Quarter over Quarter,0.0063,0.0016,Financial strength,3.9375
Quick Ratio (MRQ),0.32,0.39,Financial strength,0.8205128205128205
Interest Coverage (MRQ),9.77,13.36,Financial strength,0.7312874251497006
