,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.1,7.79,,,,,
low,5.55,2.63,,,,,
change,-0.3566,-0.4753,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1679.0,1623.0,864.0,998.0,Balance Sheet
Short Term Investments,,,,,693.0,501.0,Balance Sheet
Cash and Short Term Invs,,,1679.0,1623.0,1557.0,1499.0,Balance Sheet
Prepaid Expenses,,,28.0,32.0,31.0,25.0,Balance Sheet
Total Current Assets,,,1706.0,1655.0,1588.0,1524.0,Balance Sheet
Buildings,,,1.0,1.0,2.0,2.0,Balance Sheet
Machinery/Equipment,,,1.0,1.0,0.0,0.0,Balance Sheet
Construction in Progress,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,4.0,3.0,6.0,6.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,6.0,6.0,8.0,8.0,Balance Sheet
Accumulated Depreciation,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
Prop./Plant/Equip. - Net,,,5.0,4.0,6.0,6.0,Balance Sheet
Long Term Investments,,,4.0,4.0,4.0,4.0,Balance Sheet
Other Long Term Assets,,,14.0,11.0,9.0,9.0,Balance Sheet
Total Assets,,,1729.0,1674.0,1608.0,1543.0,Balance Sheet
Accounts Payable,,,8.0,7.0,13.0,14.0,Balance Sheet
Accrued Expenses,,,32.0,49.0,42.0,49.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,40.0,57.0,55.0,63.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,175.0,69.0,79.0,81.0,Balance Sheet
Total Liabilities,,,215.0,126.0,134.0,143.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1873.0,1886.0,1897.0,1907.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-359.0,-338.0,-420.0,-505.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-2.0,-2.0,Balance Sheet
Total Equity,,,1515.0,1549.0,1475.0,1400.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1729.0,1674.0,1608.0,1543.0,Balance Sheet
Ttl Comm. Shares Outs.,,,469.0,471.0,474.0,476.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,68.0,66.0,64.0,62.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,20289.0,23198.0,25436.0,27719.0,Income Statement
Labor & Related Expense,,,18296.0,9065.0,6356.0,6376.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,38585.0,32263.0,31792.0,34095.0,Income Statement
Research & Development,,,56216.0,53428.0,47298.0,56271.0,Income Statement
Total Operating Expense,,,94801.0,85691.0,79090.0,90366.0,Income Statement
Total Operating Income,,,-94801.0,-85691.0,-79090.0,-90366.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,226.0,182.0,4091.0,8209.0,Income Statement
OtherNon-OperatInc (Expnse),,,95799.0,106235.0,-7547.0,-2935.0,Income Statement
"Other, Net",,,95799.0,106235.0,-7547.0,-2935.0,Income Statement
Income Before Tax,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Income After Tax,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Net Inc Before Extra Items,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Total Net Income,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Income Available to Common Excl. Extra. Items,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Income Available to Common Incl. Extra. Items,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Basic/Primary Weighted Average Shares,,,469369.0,470627.0,473058.0,475566.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.0,0.04,-0.17,-0.18,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.0,0.04,-0.17,-0.18,Income Statement
Diluted Weighted Average Shares,,,469369.0,491792.0,473058.0,475566.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.0,0.04,-0.17,-0.18,Income Statement
Diluted EPS Incl. Extra. Items,,,0.0,0.04,-0.17,-0.18,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,309.0,410.0,229.0,148.0,Income Statement
Normalzd Income Before Tax,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Normalized Income After Tax,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Normalzd Inc Avail to Common,,,1224.0,20726.0,-82546.0,-85092.0,Income Statement
Basic Normalized EPS,,,0.0,0.04,-0.17,-0.18,Income Statement
Diluted Normalized EPS,,,0.0,0.04,-0.17,-0.18,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-100.0,21.0,-62.0,-147.0,Cash Flow
Depreciation/Depletion,,,1.0,0.0,1.0,1.0,Cash Flow
Non-Cash Items,,,-69.0,-93.0,-77.0,-68.0,Cash Flow
Prepaid Expenses,,,-38.0,-1.0,2.0,8.0,Cash Flow
Accounts Payable,,,6.0,0.0,6.0,6.0,Cash Flow
Accrued Expenses,,,17.0,19.0,12.0,18.0,Cash Flow
Changes in Working Capital,,,-15.0,18.0,19.0,33.0,Cash Flow
Total Cash from Operations,,,-183.0,-54.0,-119.0,-181.0,Cash Flow
Capital Expenditures,,,0.0,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,195.0,Cash Flow
Purchase of Investments,,,-4.0,,-694.0,-694.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-4.0,,-694.0,-499.0,Cash Flow
Total Cash from Investing,,,-4.0,0.0,-694.0,-499.0,Cash Flow
Financing Cash Flow Items,,,1305.0,-1.0,-1.0,-1.0,Cash Flow
"Common Stock, Net",,,1.0,0.0,0.0,1.0,Cash Flow
"Preferred Stock, Net",,,71.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,72.0,0.0,0.0,1.0,Cash Flow
Total Cash From Financing,,,1376.0,-1.0,-1.0,0.0,Cash Flow
Net Change in Cash,,,1189.0,-55.0,-814.0,-681.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,490.0,1679.0,1679.0,1679.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,1679.0,1624.0,865.0,999.0,Cash Flow
"Depreciation, Supplemental",,,1.0,0.0,1.0,1.0,Cash Flow
Free Cash Flow,,,-183.0,-54.0,-119.0,-181.0,
FCF Growth,,,,-0.7049180327868853,1.2037037037037037,0.5210084033613445,
