,EQRX
% Above Low,0.3346
% Held by Institutions,0.7509999999999999
52-Wk Range,['2.63 - 9.99']
Annual Dividend $,
Annual Dividend %,
Ask,3.65
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,
Bid,1.4
Bid Size,200.0
Closing Price,3.51
Day Change $,0.02
Day Change %,0.005699999999999999
Day High,3.63
Day Low,3.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,1.073
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,3.49
Short Interest,0.0482
Today's Open,3.45
Volume,835243.0
Volume 10-day Avg,3330526.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.19468
Price/Cash Flow (TTM),
5yr Low,2.63
5yr High,11.1
5yr Avg Return,-0.41595
Short Int Current Month,19887107.0
Short Int Prev Month,21193203.0
Short Int Pct of Float,0.0481947
Days to Cover,7.3228
Float,412.6408
Shares Outstanding,488.4334
Institutions Holding Shares,144.0
FCF Growth 5yr,0.33993135809272096
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.025400000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.27890000000000004
Return On Assets (TTM),-0.1437
Return On Investment (TTM),-0.1503
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
