,GL
% Below High,0.0052
% Held by Institutions,0.8251000000000001
52-Wk Range,['85.25 - 117.91']
Annual Dividend $,0.83
Annual Dividend %,0.0070999999999999995
Ask,117.76
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,117.3
Day Change $,0.53
Day Change %,0.0045000000000000005
Day High,117.91
Day Low,117.0
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.09
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.26
Last (size),2300.0
Last (time),5:00p ET 11/25/22
Market Cap,11.4B
"P/E Ratio (TTM, GAAP)",16.55
Prev Close,116.77
Short Interest,0.0127
Today's Open,117.0
Volume,170751.0
Volume 10-day Avg,641976.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.17690058479532178
Growth 1yr High Est,0.1673819742489271
Growth 1yr Consensus Est,0.17214127952212444
Growth 2yr Low Est,0.15987886382623218
Growth 2yr High Est,0.23932824202642422
Growth 2yr Consensus Est,0.1996035529263282
Growth 5yr Low Est,0.08291614573535513
Growth 5yr High Est,0.12660803494242018
Growth 5yr Consensus Est,0.10476209033888766
Growth 5yr Actual/Est,0.09217494965194764
Growth 3yr Historic,0.004088070628768342
Price/Earnings (TTM),16.54905
Price/Sales (TTM),2.19859
Price/Book (MRQ),2.6085
Price/Cash Flow (TTM),
5yr Low,56.74
5yr High,117.31
5yr Avg Return,0.07031666666666667
EPS Growth 5yr,0.1036622
Revenue Growth 5yr,0.054169
Dividend Growth 5yr,0.0704351
Short Int Current Month,1207962.0
Short Int Prev Month,1020448.0
Short Int Pct of Float,0.012716
Days to Cover,2.00041
Float,95.14762
Shares Outstanding,97.27023
Institutions Holding Shares,701.0
FCF Growth 5yr,0.17884458039097215
"Price/Earnings (TTM, GAAP)",16.55
"PEG Ratio (TTM, GAAP)",1.11
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1834
Net Profit Margin (TTM),0.1361
Annual Dividend Yield,0.0070999999999999995
Dividend Change %,0.061200000000000004
"Dividend Growth Rate, 3 Years",0.0738
EPS Growth (MRQ),0.0638
EPS Growth (TTM),-0.041299999999999996
Revenue Growth (MRQ),-0.001
Revenue Growth (TTM),0.0269
Return On Equity (TTM),0.10890000000000001
Return On Assets (TTM),0.026000000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),1610676.0
Total Debt/Total Capital (MRQ),0.321
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),17.17
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-08-20 00:00:00
researchTeam since,2019-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-04-18 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
