,GL
Price/Earnings (TTM),16.54905
Price/Sales (TTM),2.19859
Price/Book (MRQ),2.6085
Price/Cash Flow (TTM),
5yr Low,56.74
5yr High,117.31
5yr Avg Return,0.07031666666666667
EPS Growth 5yr,0.1036622
Revenue Growth 5yr,0.054169
Dividend Growth 5yr,0.0704351
Short Int Current Month,1207962.0
Short Int Prev Month,1020448.0
Short Int Pct of Float,0.012716
Days to Cover,2.00041
Float,95.14762
Shares Outstanding,97.27023
Institutions Holding Shares,701.0
% Held by Institutions,0.825098
FCF Growth 5yr,0.17884458039097215
