,ULH
% Below High,0.11560000000000001
% Held by Institutions,0.237
52-Wk Range,['15.86 - 40.76']
Annual Dividend $,0.42
Annual Dividend %,0.011399999999999999
Ask,36.78
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,36.05
Bid Size,300.0
Closing Price,36.05
Day Change $,-0.66
Day Change %,-0.018000000000000002
Day High,37.47
Day Low,35.78
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.446
Last (size),13.0
Last (time),3:59p ET 11/28/22
Market Cap,945.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.44
Prev Close,36.71
Short Interest,0.031
Today's Open,36.89
Volume,49299.0
Volume 10-day Avg,56774.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.4615384615384617
Growth 1yr High Est,1.4253731343283582
Growth 1yr Consensus Est,1.44345579793341
Growth 2yr Low Est,0.6604567307692308
Growth 2yr High Est,0.6742250287026407
Growth 2yr Consensus Est,0.6673408797359357
Growth 5yr Low Est,0.6604567307692308
Growth 5yr High Est,0.6742250287026407
Growth 5yr Consensus Est,0.6673408797359357
Growth 5yr Actual/Est,0.5282928796022632
Growth 3yr Historic,0.21692101291296328
Price/Earnings (TTM),6.44383
Price/Sales (TTM),0.47658
Price/Book (MRQ),2.32445
Price/Cash Flow (TTM),4.28014
5yr Low,11.02
5yr High,40.76
5yr Avg Return,0.13575
EPS Growth 5yr,0.26259730000000003
Revenue Growth 5yr,0.10295159999999999
Dividend Growth 5yr,0.0844718
Short Int Current Month,216335.0
Short Int Prev Month,242423.0
Short Int Pct of Float,0.0309655
Days to Cover,3.17831
Float,6.98654
Shares Outstanding,26.27755
Institutions Holding Shares,137.0
FCF Growth 5yr,0.18073050150894165
"Price/Earnings (TTM, GAAP)",6.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3063
Operating Profit Margin (TTM),0.1067
Net Profit Margin (TTM),0.0748
Annual Dividend Yield,0.011399999999999999
Dividend Change %,0.3333
"Dividend Growth Rate, 3 Years",0.0294
EPS Growth (MRQ),0.0911
EPS Growth (TTM),1.0042
Revenue Growth (MRQ),-0.0408
Revenue Growth (TTM),0.21239999999999998
Return On Equity (TTM),0.4308
Return On Assets (TTM),0.1305
Return On Investment (TTM),0.1752
Revenue Per Employee (TTM),252887.0
Total Debt/Total Capital (MRQ),0.4839
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),17.45
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
