,ULH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.44,29.96,Valuation,0.21495327102803738
Price/Sales (TTM),0.48,3.76,Valuation,0.1276595744680851
Price/Book (MRQ),2.32,7.0,Valuation,0.3314285714285714
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.3063,0.5844,Profitability,0.5241273100616016
Operating Profit Margin (TTM),0.1067,0.2133,Profitability,0.5002344116268167
Net Profit Margin (TTM),0.0748,0.1038,Profitability,0.720616570327553
Annual Dividend Yield,0.011399999999999999,0.013000000000000001,Dividend,0.8769230769230767
Dividend Change %,0.3333,0.09210000000000002,Dividend,3.618892508143322
"Dividend Growth Rate, 3 Years",0.0294,0.09480000000000001,Dividend,0.310126582278481
EPS Growth (MRQ),0.0911,0.3065,Gowth rates,0.2972267536704731
EPS Growth (TTM),1.0042,0.0956,Gowth rates,10.50418410041841
Revenue Growth (MRQ),-0.0408,0.2373,Gowth rates,-0.17193426042983564
Revenue Growth (TTM),0.21239999999999998,0.2979,Gowth rates,0.7129909365558912
Return On Equity (TTM),0.4308,0.1677,Effectiveness,2.568872987477639
Return On Assets (TTM),0.1305,0.065,Effectiveness,2.0076923076923077
Return On Investment (TTM),0.1752,0.06480000000000001,Effectiveness,2.7037037037037033
Revenue Per Employee (TTM),252887.0,723294.0,Effectiveness,0.3496323763227678
Total Debt/Total Capital (MRQ),0.4839,0.5356000000000001,Financial strength,0.9034727408513815
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0005,Financial strength,-3.5999999999999996
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),17.45,13.38,Financial strength,1.304185351270553
