,FYBR
Price/Earnings (TTM),13.23263
Price/Sales (TTM),1.0635
Price/Book (MRQ),1.27028
Price/Cash Flow (TTM),3.852
5yr Low,20.83
5yr High,35.15
5yr Avg Return,-0.07314999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.06341719999999999
Dividend Growth 5yr,
Short Int Current Month,17370993.0
Short Int Prev Month,20247904.0
Short Int Pct of Float,0.0713972
Days to Cover,13.33298
Float,244.4809
Shares Outstanding,245.004
Institutions Holding Shares,288.0
% Held by Institutions,1.016375
FCF Growth 5yr,-1.5671021866175756
