,FYBR
% Above Low,0.22829999999999998
% Held by Institutions,1.0164
52-Wk Range,['20.83 - 35.15']
Annual Dividend $,
Annual Dividend %,
Ask,26.75
Ask Size,1500.0
B/A Ratio,0.13333333333333333
B/A Size,200x1500
Beta,
Bid,17.78
Bid Size,200.0
Closing Price,25.58
Day Change $,0.59
Day Change %,0.0236
Day High,25.67
Day Low,24.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.93
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",13.23
Prev Close,24.99
Short Interest,0.07139999999999999
Today's Open,24.83
Volume,279683.0
Volume 10-day Avg,1111353.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0
Growth 2yr High Est,-0.5
Growth 2yr Consensus Est,-0.75
Growth 5yr Low Est,-1.0
Growth 5yr High Est,-0.5
Growth 5yr Consensus Est,-0.75
Growth 5yr Actual/Est,-0.8278997742495195
Growth 3yr Historic,0.0
Price/Earnings (TTM),13.23263
Price/Sales (TTM),1.0635
Price/Book (MRQ),1.27028
Price/Cash Flow (TTM),3.852
5yr Low,20.83
5yr High,35.15
5yr Avg Return,-0.07314999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.06341719999999999
Dividend Growth 5yr,
Short Int Current Month,17370993.0
Short Int Prev Month,20247904.0
Short Int Pct of Float,0.0713972
Days to Cover,13.33298
Float,244.4809
Shares Outstanding,245.004
Institutions Holding Shares,288.0
FCF Growth 5yr,-1.5671021866175756
"Price/Earnings (TTM, GAAP)",13.23
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6285000000000001
Operating Profit Margin (TTM),0.1151
Net Profit Margin (TTM),0.0806
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1857
EPS Growth (TTM),-0.9001000000000001
Revenue Growth (MRQ),-0.0103
Revenue Growth (TTM),-0.10210000000000001
Return On Equity (TTM),0.102
Return On Assets (TTM),0.0282
Return On Investment (TTM),0.0315
Revenue Per Employee (TTM),377756.0
Total Debt/Total Capital (MRQ),0.6494
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-09-08 00:00:00
researchTeam since,2022-09-08 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
