,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.15,31.86,,,,,
low,23.24,20.83,,,,,
change,-0.017,-0.1293,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,2127.0,1300.0,678.0,230.0,Balance Sheet
Short Term Investments,,,,900.0,2300.0,2325.0,Balance Sheet
Cash and Short Term Invs,,,2127.0,2200.0,2978.0,2555.0,Balance Sheet
"Trade Accts Recvble, Gross",,,515.0,462.0,465.0,,Balance Sheet
Prov. for Doubtful Accts,,,-57.0,-65.0,-45.0,,Balance Sheet
"Trade Accts Recvble, Net",,,458.0,397.0,420.0,422.0,Balance Sheet
Other Receivables,,,30.0,31.0,25.0,,Balance Sheet
"Total Receivables, Net",,,488.0,428.0,445.0,422.0,Balance Sheet
Prepaid Expenses,,,73.0,60.0,79.0,,Balance Sheet
"Other Curr. Assets, Total",,,0.0,,,101.0,Balance Sheet
Total Current Assets,,,2688.0,2688.0,3502.0,3078.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,9707.0,10282.0,11024.0,,Balance Sheet
Accumulated Depreciation,,,-508.0,-707.0,-916.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,9199.0,9575.0,10108.0,10847.0,Balance Sheet
Intangibles - Gross,,,4441.0,4441.0,4441.0,,Balance Sheet
Accum. Intangible Amort.,,,-214.0,-294.0,-374.0,,Balance Sheet
Intangibles - Net,,,4227.0,4147.0,4067.0,,Balance Sheet
Note Rcvble - Long Term,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,350.0,328.0,328.0,4348.0,Balance Sheet
Total Assets,,,16481.0,16755.0,18035.0,18273.0,Balance Sheet
Accounts Payable,,,535.0,694.0,818.0,1962.0,Balance Sheet
Accrued Expenses,,,122.0,199.0,166.0,,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,15.0,15.0,15.0,15.0,Balance Sheet
Customer Advances,,,224.0,229.0,226.0,,Balance Sheet
Income Taxes Payable,,,183.0,178.0,174.0,,Balance Sheet
Other Current Liabilities,,,372.0,398.0,380.0,,Balance Sheet
"Other Curr. Lblts, Total",,,779.0,805.0,780.0,,Balance Sheet
Total Current Liabilities,,,1451.0,1713.0,1779.0,1977.0,Balance Sheet
Total Long Term Debt,,,7968.0,7957.0,9130.0,9120.0,Balance Sheet
Total Debt,,,7983.0,7972.0,9145.0,9135.0,Balance Sheet
Deferred Income Tax,,,387.0,412.0,481.0,2243.0,Balance Sheet
Pension Benefits - Underfunded,,,1672.0,1580.0,1427.0,,Balance Sheet
Other LT Liabilities,,,403.0,415.0,422.0,,Balance Sheet
"Other Liabilities, Total",,,2075.0,1995.0,1849.0,,Balance Sheet
Total Liabilities,,,11881.0,12077.0,13239.0,13340.0,Balance Sheet
Common Stock,,,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,,,4124.0,4139.0,4152.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),,,414.0,479.0,580.0,,Balance Sheet
Treasury Stock - Common,,,0.0,,,,Balance Sheet
Other Equity,,,,,,4933.0,Balance Sheet
Min. Pension Lblty Adj.,,,60.0,58.0,,,Balance Sheet
Other Comprehensive Income,,,,,62.0,,Balance Sheet
"Other Equity, Total",,,60.0,58.0,62.0,4933.0,Balance Sheet
Total Equity,,,4600.0,4678.0,4796.0,4933.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,16481.0,16755.0,18035.0,18273.0,Balance Sheet
Ttl Comm. Shares Outs.,,,244.0,244.0,245.0,245.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,1543.0,1447.0,1459.0,1444.0,Income Statement
"Cost of Revenue, Total",,,546.0,553.0,546.0,544.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,441.0,435.0,427.0,431.0,Income Statement
Depreciation,,,202.0,204.0,211.0,296.0,Income Statement
Amortiz of Intangibles,,,80.0,80.0,79.0,,Income Statement
Depreciation/Amortization,,,282.0,284.0,290.0,296.0,Income Statement
Restructuring Charge,,,2.0,54.0,30.0,4.0,Income Statement
Other Unusual Expnse (In),,,0.0,,,50.0,Income Statement
Unusual Expense (Income),,,2.0,54.0,30.0,54.0,Income Statement
Total Operating Expense,,,1271.0,1326.0,1293.0,1325.0,Income Statement
Total Operating Income,,,272.0,121.0,166.0,119.0,Income Statement
"Inter Expse,Net Non-Operat",,,-105.0,-103.0,-118.0,-135.0,Income Statement
"Inter Income, Non-Operating",,,0.0,2.0,6.0,,Income Statement
"Invest Income, Non-Operat",,,,,,211.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,0.0,2.0,6.0,211.0,Income Statement
OtherNon-OperatInc (Expnse),,,34.0,75.0,116.0,,Income Statement
"Other, Net",,,34.0,75.0,116.0,,Income Statement
Income Before Tax,,,201.0,95.0,170.0,195.0,Income Statement
Income Tax - Total,,,12.0,30.0,69.0,75.0,Income Statement
Income After Tax,,,189.0,65.0,101.0,120.0,Income Statement
Net Inc Before Extra Items,,,189.0,65.0,101.0,120.0,Income Statement
Total Net Income,,,189.0,65.0,101.0,120.0,Income Statement
Income Available to Common Excl. Extra. Items,,,189.0,65.0,101.0,120.0,Income Statement
Income Available to Common Incl. Extra. Items,,,189.0,65.0,101.0,120.0,Income Statement
Basic/Primary Weighted Average Shares,,,244.0,244.0,245.0,245.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.77,0.27,0.41,0.49,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.77,0.27,0.41,0.49,Income Statement
Diluted Weighted Average Shares,,,247.0,245.0,245.0,245.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.77,0.27,0.41,0.49,Income Statement
Diluted EPS Incl. Extra. Items,,,0.77,0.27,0.41,0.49,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,105.0,103.0,118.0,135.0,Income Statement
"Depreciat/Amort, Suppl",,,202.0,204.0,211.0,296.0,Income Statement
Total Special Items,,,2.0,54.0,30.0,54.0,Income Statement
Normalzd Income Before Tax,,,203.0,149.0,200.0,249.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,17.0,12.0,21.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,12.0,47.0,81.0,96.0,Income Statement
Normalized Income After Tax,,,191.0,102.0,119.0,153.0,Income Statement
Normalzd Inc Avail to Common,,,191.0,102.0,119.0,153.0,Income Statement
Basic Normalized EPS,,,0.78,0.42,0.49,0.63,Income Statement
Diluted Normalized EPS,,,0.77,0.42,0.49,0.62,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,4955.0,65.0,166.0,286.0,Cash Flow
Depreciation/Depletion,,,1240.0,284.0,574.0,870.0,Cash Flow
Deferred Taxes,,,-67.0,25.0,93.0,167.0,Cash Flow
Unusual Items,,,-5467.0,,,,Cash Flow
Other Non-Cash Items,,,0.0,52.0,80.0,147.0,Cash Flow
Non-Cash Items,,,-5467.0,52.0,80.0,147.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,37.0,2.0,9.0,7.0,Cash Flow
"Cash Interest Pd, Suppl",,,365.0,36.0,198.0,286.0,Cash Flow
Accounts Receivable,,,95.0,61.0,24.0,16.0,Cash Flow
Other Assets,,,94.0,15.0,-15.0,-12.0,Cash Flow
Accounts Payable,,,-53.0,26.0,77.0,94.0,Cash Flow
Changes in Working Capital,,,136.0,102.0,-156.0,-429.0,Cash Flow
Total Cash from Operations,,,797.0,528.0,757.0,1041.0,Cash Flow
Capital Expenditures,,,-1705.0,-447.0,-1088.0,-1860.0,Cash Flow
Sale of Business,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,16.0,0.0,1.0,4.0,Cash Flow
Sale/Maturity of Investment,,,,,300.0,900.0,Cash Flow
Purchase of Investments,,,,-900.0,-2600.0,-3225.0,Cash Flow
Other Investing Cash Flow,,,6.0,2.0,2.0,3.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,22.0,-898.0,-2297.0,-2318.0,Cash Flow
Total Cash from Investing,,,-1683.0,-1345.0,-3385.0,-4178.0,Cash Flow
Financing Cash Flow Items,,,-10.0,-4.0,-25.0,45.0,Cash Flow
Long Term Debt Issued,,,1225.0,,1200.0,1200.0,Cash Flow
Long Term Debt Reduction,,,-38.0,-8.0,-17.0,-26.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,1187.0,-8.0,1183.0,1174.0,Cash Flow
Total Cash From Financing,,,1177.0,-12.0,1158.0,1219.0,Cash Flow
Net Change in Cash,,,291.0,-829.0,-1470.0,-1918.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,2827.0,2178.0,2178.0,2178.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,3118.0,1349.0,708.0,260.0,Cash Flow
"Depreciation, Supplemental",,,1240.0,284.0,574.0,870.0,Cash Flow
Free Cash Flow,,,-908.0,81.0,-331.0,-819.0,
FCF Growth,,,,-1.0892070484581498,-5.08641975308642,1.474320241691843,
