,VIRT
% Above Low,0.0828
% Held by Institutions,0.9135
52-Wk Range,['20.42 - 38.63']
Annual Dividend $,0.96
Annual Dividend %,0.0431
Ask,22.12
Ask Size,59900.0
B/A Ratio,0.08013355592654424
B/A Size,4800x59900
Beta,0.0
Bid,22.1
Bid Size,4800.0
Closing Price,22.11
Day Change $,-0.14
Day Change %,-0.0063
Day High,22.45
Day Low,22.01
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.33
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.19
Prev Close,22.25
Short Interest,0.029500000000000002
Today's Open,22.21
Volume,930421.0
Volume 10-day Avg,921279.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,2.8214285714285716
Growth 1yr High Est,2.4432989690721647
Growth 1yr Consensus Est,2.632363770250368
Growth 2yr Low Est,1.3234868713840677
Growth 2yr High Est,1.2156614605839866
Growth 2yr Consensus Est,1.2695741659840272
Growth 5yr Low Est,0.6617434356920339
Growth 5yr High Est,0.6078307302919933
Growth 5yr Consensus Est,0.6347870829920136
Growth 5yr Actual/Est,1.1081215708555552
Growth 3yr Historic,1.1983506944444444
Price/Earnings (TTM),7.19104
Price/Sales (TTM),1.46096
Price/Book (MRQ),2.80086
Price/Cash Flow (TTM),5.02092
5yr Low,14.94
5yr High,38.63
5yr Avg Return,0.11603333333333334
EPS Growth 5yr,0.36192860000000004
Revenue Growth 5yr,0.319733
Dividend Growth 5yr,0.0
Short Int Current Month,2889824.0
Short Int Prev Month,2858239.0
Short Int Pct of Float,0.029492699999999997
Days to Cover,3.1499
Float,97.95552
Shares Outstanding,168.9233
Institutions Holding Shares,337.0
FCF Growth 5yr,3.600106694722107
"Price/Earnings (TTM, GAAP)",7.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.624
Operating Profit Margin (TTM),0.2892
Net Profit Margin (TTM),0.2389
Annual Dividend Yield,0.0431
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.5536
EPS Growth (TTM),-0.19890000000000002
Revenue Growth (MRQ),-0.0723
Revenue Growth (TTM),-0.07540000000000001
Return On Equity (TTM),0.2325
Return On Assets (TTM),0.05740000000000001
Return On Investment (TTM),0.1362
Revenue Per Employee (TTM),2644037.0
Total Debt/Total Capital (MRQ),0.8197
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
