,VIRT
Price/Earnings (TTM),7.19104
Price/Sales (TTM),1.46096
Price/Book (MRQ),2.80086
Price/Cash Flow (TTM),5.02092
5yr Low,14.94
5yr High,38.63
5yr Avg Return,0.11603333333333334
EPS Growth 5yr,0.36192860000000004
Revenue Growth 5yr,0.319733
Dividend Growth 5yr,0.0
Short Int Current Month,2889824.0
Short Int Prev Month,2858239.0
Short Int Pct of Float,0.029492699999999997
Days to Cover,3.1499
Float,97.95552
Shares Outstanding,168.9233
Institutions Holding Shares,337.0
% Held by Institutions,0.9134950000000001
FCF Growth 5yr,3.600106694722107
