,NUVA
% Above Low,0.0827
% Held by Institutions,0.9959
52-Wk Range,['35.17 - 60.47']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,38.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.457
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,38.08
Short Interest,0.0379
Today's Open,
Volume,171755.0
Volume 10-day Avg,757631.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.9801980198019802
Growth 1yr High Est,0.6030534351145038
Growth 1yr Consensus Est,0.791625727458242
Growth 2yr Low Est,0.5000990099009901
Growth 2yr High Est,0.41581243184296623
Growth 2yr Consensus Est,0.45795572087197817
Growth 5yr Low Est,0.10749631346113336
Growth 5yr High Est,0.09379833210405572
Growth 5yr Consensus Est,0.10064732278259456
Growth 5yr Actual/Est,0.05041758216649472
Growth 3yr Historic,-0.034042658240347634
Price/Earnings (TTM),
Price/Sales (TTM),1.65636
Price/Book (MRQ),2.38306
Price/Cash Flow (TTM),15.57055
5yr Low,28.55
5yr High,81.91
5yr Avg Return,-0.027883333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0343247
Dividend Growth 5yr,
Short Int Current Month,1969758.0
Short Int Prev Month,2768122.0
Short Int Pct of Float,0.037868900000000004
Days to Cover,2.14964
Float,52.01526
Shares Outstanding,52.13396
Institutions Holding Shares,308.0
FCF Growth 5yr,-6.1109890109890115
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7253000000000001
Operating Profit Margin (TTM),0.0319
Net Profit Margin (TTM),-0.017
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
Return On Equity (TTM),-0.0246
Return On Assets (TTM),-0.0095
Return On Investment (TTM),-0.011899999999999999
Revenue Per Employee (TTM),413299.0
Total Debt/Total Capital (MRQ),0.5172
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),1.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-03-20 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
