,NUVA
Price/Earnings (TTM),
Price/Sales (TTM),1.65636
Price/Book (MRQ),2.38306
Price/Cash Flow (TTM),15.57055
5yr Low,28.55
5yr High,81.91
5yr Avg Return,-0.027883333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0343247
Dividend Growth 5yr,
Short Int Current Month,1969758.0
Short Int Prev Month,2768122.0
Short Int Pct of Float,0.037868900000000004
Days to Cover,2.14964
Float,52.01526
Shares Outstanding,52.13396
Institutions Holding Shares,308.0
% Held by Institutions,0.995947
FCF Growth 5yr,-6.1109890109890115
