,NUVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),1.66,9.8,Valuation,0.1693877551020408
Price/Book (MRQ),2.38,10.31,Valuation,0.2308438409311348
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7253000000000001,0.6196,Profitability,1.1705939315687541
Operating Profit Margin (TTM),0.0319,0.047,Profitability,0.6787234042553191
Net Profit Margin (TTM),-0.017,0.009300000000000001,Profitability,-1.8279569892473118
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
Annual Dividend Yield,,0.0095,Gowth rates,
Dividend Change %,,0.0679,Gowth rates,
"Dividend Growth Rate, 3 Years",,0.0524,Gowth rates,
Return On Equity (TTM),-0.0246,0.1068,Effectiveness,-0.23033707865168537
Return On Assets (TTM),-0.0095,0.0622,Effectiveness,-0.1527331189710611
Return On Investment (TTM),-0.011899999999999999,0.0732,Effectiveness,-0.16256830601092895
Revenue Per Employee (TTM),413299.0,403586.0,Effectiveness,1.024066741661009
Total Debt/Total Capital (MRQ),0.5172,0.3161,Financial strength,1.6361910787725404
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0125,Financial strength,-0.008
Quick Ratio (MRQ),0.72,2.25,Financial strength,0.32
Interest Coverage (MRQ),1.0,14.99,Financial strength,0.066711140760507
