,CCBG
% Below High,0.0174
% Held by Institutions,0.44670000000000004
52-Wk Range,['24.43 - 36.23']
Annual Dividend $,0.68
Annual Dividend %,0.0191
Ask,55.68
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,14.2
Bid Size,200.0
Closing Price,35.6
Day Change $,0.11
Day Change %,0.0031
Day High,35.8
Day Low,35.46
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",2.05
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.25
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,603.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.33
Prev Close,35.49
Short Interest,0.009300000000000001
Today's Open,35.46
Volume,3208.0
Volume 10-day Avg,24346.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.17156862745098045
Growth 1yr High Est,0.06896551724137945
Growth 1yr Consensus Est,0.12026707234617995
Growth 2yr Low Est,0.269884732135532
Growth 2yr High Est,0.29053114571746397
Growth 2yr Consensus Est,0.280207938926498
Growth 5yr Low Est,0.1717538067457321
Growth 5yr High Est,0.21401557285873196
Growth 5yr Consensus Est,0.19288468980223203
Growth 5yr Actual/Est,0.17952913706512647
Growth 3yr Historic,0.04406464364608764
Price/Earnings (TTM),17.32512
Price/Sales (TTM),2.88332
Price/Book (MRQ),1.57695
Price/Cash Flow (TTM),13.64223
5yr Low,15.61
5yr High,36.23
5yr Avg Return,0.08103333333333333
EPS Growth 5yr,0.2348675
Revenue Growth 5yr,0.055568299999999994
Dividend Growth 5yr,0.2953542
Short Int Current Month,119784.0
Short Int Prev Month,151789.0
Short Int Pct of Float,0.0092826
Days to Cover,4.70239
Float,12.90162
Shares Outstanding,16.95928
Institutions Holding Shares,141.0
FCF Growth 5yr,0.29136761622888147
"Price/Earnings (TTM, GAAP)",17.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),0.17420000000000002
Annual Dividend Yield,0.0191
Dividend Change %,0.0877
"Dividend Growth Rate, 3 Years",0.24670000000000003
EPS Growth (MRQ),0.2967
EPS Growth (TTM),-0.003
Revenue Growth (MRQ),0.2061
Revenue Growth (TTM),0.0815
Return On Equity (TTM),0.0934
Return On Assets (TTM),0.0087
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-10-19 00:00:00
