,CNSL
% Above Low,0.1418
% Held by Institutions,0.8037000000000001
52-Wk Range,['4.09 - 8.49']
Annual Dividend $,
Annual Dividend %,
Ask,4.77
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.1
Bid,4.27
Bid Size,1000.0
Closing Price,4.67
Day Change $,0.12
Day Change %,0.0264
Day High,4.71
Day Low,4.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.37
Ex-dividend Date,No dividend
Historical Volatility,0.55
Last (size),35.0
Last (time),12:59p ET 11/25/22
Market Cap,540.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.55
Short Interest,0.026000000000000002
Today's Open,4.56
Volume,69057.0
Volume 10-day Avg,268929.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0499999999999998
Growth 2yr High Est,-1.3
Growth 2yr Consensus Est,-0.1250000000000001
Growth 5yr Low Est,1.0499999999999998
Growth 5yr High Est,-1.3
Growth 5yr Consensus Est,-0.1250000000000001
Growth 5yr Actual/Est,9.087427626137304
Growth 3yr Historic,9.448717948717949
Price/Earnings (TTM),
Price/Sales (TTM),0.44399
Price/Book (MRQ),0.76226
Price/Cash Flow (TTM),3.81437
5yr Low,3.24
5yr High,14.55
5yr Avg Return,-0.09108333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.11525690000000001
Dividend Growth 5yr,
Short Int Current Month,1912679.0
Short Int Prev Month,2508450.0
Short Int Pct of Float,0.0259923
Days to Cover,7.29237
Float,112.9462
Shares Outstanding,115.3957
Institutions Holding Shares,207.0
FCF Growth 5yr,0.5004804648556072
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5462
Operating Profit Margin (TTM),-0.031400000000000004
Net Profit Margin (TTM),-0.1005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.26739999999999997
EPS Growth (TTM),0.2285
Revenue Growth (MRQ),-0.0059
Revenue Growth (TTM),-0.059000000000000004
Return On Equity (TTM),-0.2809
Return On Assets (TTM),-0.0317
Return On Investment (TTM),-0.0346
Revenue Per Employee (TTM),379302.0
Total Debt/Total Capital (MRQ),0.6741
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.22
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-09 00:00:00
cfra since,2016-12-06 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-09 00:00:00
