,ROKU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),2.5,6.3,Valuation,0.39682539682539686
Price/Book (MRQ),2.81,7.63,Valuation,0.36828309305373524
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.4661,0.41159999999999997,Profitability,1.1324101068999028
Operating Profit Margin (TTM),-0.08310000000000001,0.0672,Profitability,-1.236607142857143
Net Profit Margin (TTM),-0.0759,0.0336,Profitability,-2.2589285714285716
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.0743,-1.1815,Gowth rates,0.06288616165890817
EPS Growth (TTM),-1.8341999999999998,0.2345,Gowth rates,-7.821748400852878
Revenue Growth (MRQ),-0.004,0.2214,Gowth rates,-0.018066847335140017
Revenue Growth (TTM),0.2258,0.44170000000000004,Gowth rates,0.5112067013810278
Return On Equity (TTM),-0.0868,0.1716,Effectiveness,-0.5058275058275058
Return On Assets (TTM),-0.0571,0.0233,Effectiveness,-2.4506437768240343
Return On Investment (TTM),-0.0709,0.027999999999999997,Effectiveness,-2.5321428571428575
Revenue Per Employee (TTM),1041602.0,999442.0,Effectiveness,1.0421835384144353
Total Debt/Total Capital (MRQ),0.0288,0.4204,Financial strength,0.06850618458610847
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0014000000000000002,Financial strength,-1.357142857142857
Quick Ratio (MRQ),3.02,0.41,Financial strength,7.365853658536586
Interest Coverage (MRQ),-127.04,-3.12,Financial strength,40.717948717948715
