,ROKU
% Above Low,0.2208
% Held by Institutions,0.7311
52-Wk Range,['44.50 - 266.05']
Annual Dividend $,
Annual Dividend %,
Ask,54.35
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,54.3
Bid Size,100.0
Day Change $,-1.76
Day Change %,-0.0313
Day High,56.35
Day Low,54.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.73
Ex-dividend Date,No dividend
Historical Volatility,0.9259999999999999
Last (size),200.0
Last (time),1:09p ET 11/28/22
Market Cap,7.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,56.08
Price,54.33
Short Interest,0.10099999999999999
Today's Open,55.4
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,6.035714285714285
Growth 1yr High Est,6.744186046511628
Growth 1yr Consensus Est,6.389950166112957
Growth 2yr Low Est,3.2209028281363303
Growth 2yr High Est,2.975696626859418
Growth 2yr Consensus Est,3.0982997274978743
Growth 5yr Low Est,1.6104514140681652
Growth 5yr High Est,1.487848313429709
Growth 5yr Consensus Est,1.5491498637489372
Growth 5yr Actual/Est,-4.234801747959643
Growth 3yr Historic,-3.486263736263736
Price/Earnings (TTM),
Price/Sales (TTM),2.49943
Price/Book (MRQ),2.81153
Price/Cash Flow (TTM),
5yr Low,26.3
5yr High,490.76
5yr Avg Return,0.5972666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4730172
Dividend Growth 5yr,
Short Int Current Month,12264342.0
Short Int Prev Month,11130232.0
Short Int Pct of Float,0.1010118
Days to Cover,0.88283
Float,121.4676
Shares Outstanding,139.2695
Institutions Holding Shares,757.0
FCF Growth 5yr,-0.5886689176573919
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4661
Operating Profit Margin (TTM),-0.08310000000000001
Net Profit Margin (TTM),-0.0759
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0743
EPS Growth (TTM),-1.8341999999999998
Revenue Growth (MRQ),-0.004
Revenue Growth (TTM),0.2258
Return On Equity (TTM),-0.0868
Return On Assets (TTM),-0.0571
Return On Investment (TTM),-0.0709
Revenue Per Employee (TTM),1041602.0
Total Debt/Total Capital (MRQ),0.0288
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),3.02
Interest Coverage (MRQ),-127.04
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-06-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
