,VZ
% Above Low,0.1068
% Held by Institutions,0.6068
52-Wk Range,['34.55 - 55.51']
Annual Dividend $,2.61
Annual Dividend %,0.0669
Ask,38.31
Ask Size,300.0
B/A Ratio,7.0
B/A Size,2100x300
Beta,0.4
Bid,38.24
Bid Size,2100.0
Closing Price,38.24
Day Change $,-0.78
Day Change %,-0.02
Day High,39.09
Day Low,38.13
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.23
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,160.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.48
Prev Close,39.02
Short Interest,0.008100000000000001
Today's Open,39.01
Volume,21563586.0
Volume 10-day Avg,18939365.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.041198501872659166
Growth 1yr High Est,-0.031192660550458662
Growth 1yr Consensus Est,-0.036195581211558914
Growth 2yr Low Est,-0.05868518843632953
Growth 2yr High Est,-0.01275542118432027
Growth 2yr Consensus Est,-0.0357203048103249
Growth 5yr Low Est,-0.0005122217178037125
Growth 5yr High Est,0.024369500832548352
Growth 5yr Consensus Est,0.01192863955737232
Growth 5yr Actual/Est,0.015576677183820054
Growth 3yr Historic,0.029677754677754686
Price/Earnings (TTM),8.4849
Price/Sales (TTM),1.20808
Price/Book (MRQ),1.87356
Price/Cash Flow (TTM),4.463
5yr Low,34.55
5yr High,62.22
5yr Avg Return,-0.03208333333333333
EPS Growth 5yr,0.10600659999999999
Revenue Growth 5yr,0.0118344
Dividend Growth 5yr,0.021093399999999998
Short Int Current Month,34011795.0
Short Int Prev Month,31777796.0
Short Int Pct of Float,0.0081008
Days to Cover,1.54587
Float,4198.771
Shares Outstanding,4199.817
Institutions Holding Shares,3391.0
FCF Growth 5yr,-2.2925775521374145
"Price/Earnings (TTM, GAAP)",8.48
"PEG Ratio (TTM, GAAP)",3.87
Gross Profit Margin (TTM),0.5697
Operating Profit Margin (TTM),0.2184
Net Profit Margin (TTM),0.1459
Annual Dividend Yield,0.0669
Dividend Change %,0.0202
"Dividend Growth Rate, 3 Years",0.0206
EPS Growth (MRQ),-0.057999999999999996
EPS Growth (TTM),-0.1354
Revenue Growth (MRQ),0.0134
Revenue Growth (TTM),0.0105
Return On Equity (TTM),0.2345
Return On Assets (TTM),0.0543
Return On Investment (TTM),0.06269999999999999
Revenue Per Employee (TTM),1145701.0
Total Debt/Total Capital (MRQ),0.6249
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),8.74
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2019-01-25 00:00:00
theStreet since,2022-08-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-01-29 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
