,VZ
Price/Earnings (TTM),8.4849
Price/Sales (TTM),1.20808
Price/Book (MRQ),1.87356
Price/Cash Flow (TTM),4.463
5yr Low,34.55
5yr High,62.22
5yr Avg Return,-0.03208333333333333
EPS Growth 5yr,0.10600659999999999
Revenue Growth 5yr,0.0118344
Dividend Growth 5yr,0.021093399999999998
Short Int Current Month,34011795.0
Short Int Prev Month,31777796.0
Short Int Pct of Float,0.0081008
Days to Cover,1.54587
Float,4198.771
Shares Outstanding,4199.817
Institutions Holding Shares,3391.0
% Held by Institutions,0.6068180000000001
FCF Growth 5yr,-2.2925775521374145
