,CBT
% Below High,0.051500000000000004
% Held by Institutions,0.9652
52-Wk Range,['50.96 - 78.62']
Annual Dividend $,1.48
Annual Dividend %,0.019799999999999998
Ask,75.05
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,74.57
Day Change $,0.77
Day Change %,0.0104
Day High,74.98
Day Low,73.71
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.419
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.73
Prev Close,73.8
Short Interest,0.0213
Today's Open,73.71
Volume,112600.0
Volume 10-day Avg,333175.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.06209150326797386
Growth 1yr High Est,0.06451612903225801
Growth 1yr Consensus Est,0.06330381615011593
Growth 2yr Low Est,-0.10356963298139771
Growth 2yr High Est,0.11180351906158359
Growth 2yr Consensus Est,0.004116943040092941
Growth 5yr Low Est,0.013946775291313052
Growth 5yr High Est,0.15044327013346495
Growth 5yr Consensus Est,0.082195022712389
Growth 5yr Actual/Est,0.4356378276997303
Growth 3yr Historic,0.4161143885994484
Price/Earnings (TTM),20.73364
Price/Sales (TTM),0.9721
Price/Book (MRQ),4.67089
Price/Cash Flow (TTM),11.11228
5yr Low,20.0
5yr High,78.62
5yr Avg Return,0.054450000000000005
EPS Growth 5yr,-0.0159489
Revenue Growth 5yr,0.09723319999999999
Dividend Growth 5yr,0.037698800000000005
Short Int Current Month,1187775.0
Short Int Prev Month,1431245.0
Short Int Pct of Float,0.0212933
Days to Cover,3.21824
Float,55.9163
Shares Outstanding,56.32884
Institutions Holding Shares,396.0
FCF Growth 5yr,0.13960399656602193
"Price/Earnings (TTM, GAAP)",20.73
"PEG Ratio (TTM, GAAP)",1.46
Gross Profit Margin (TTM),0.20500000000000002
Operating Profit Margin (TTM),0.09
Net Profit Margin (TTM),0.053899999999999997
Annual Dividend Yield,0.0198
Dividend Change %,0.0571
"Dividend Growth Rate, 3 Years",0.0286
EPS Growth (MRQ),-0.0329
EPS Growth (TTM),-0.1595
Revenue Growth (MRQ),-0.0322
Revenue Growth (TTM),0.2675
Return On Equity (TTM),0.22219999999999998
Return On Assets (TTM),0.06820000000000001
Return On Investment (TTM),0.10830000000000001
Revenue Per Employee (TTM),1031265.0
Total Debt/Total Capital (MRQ),0.583
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),9.64
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-03 00:00:00
