,AGIO
% Below High,0.23079999999999998
% Held by Institutions,1.0344
52-Wk Range,['16.75 - 37.70']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,17.0
Bid Size,100.0
Closing Price,29.0
Day Change $,0.17
Day Change %,0.0059
Day High,29.09
Day Low,28.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.72
Ex-dividend Date,No dividend
Historical Volatility,0.6859999999999999
Last (size),26.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.83
Short Interest,0.1164
Today's Open,28.55
Volume,122050.0
Volume 10-day Avg,421812.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3640000000000001
Growth 1yr High Est,0.4364896073903002
Growth 1yr Consensus Est,0.40024480369515014
Growth 2yr Low Est,0.2890381231671554
Growth 2yr High Est,0.1989521991935424
Growth 2yr Consensus Est,0.2439951611803489
Growth 5yr Low Est,0.06458708879446204
Growth 5yr High Est,0.01349125111192273
Growth 5yr Consensus Est,0.039039169953192385
Growth 5yr Actual/Est,-2.034900192790522
Growth 3yr Historic,-1.7275759309148613
Price/Earnings (TTM),
Price/Sales (TTM),160.4633
Price/Book (MRQ),1.51588
Price/Cash Flow (TTM),
5yr Low,16.75
5yr High,99.82
5yr Avg Return,-0.11193333333333333
Short Int Current Month,6310150.0
Short Int Prev Month,6382454.0
Short Int Pct of Float,0.1163629
Days to Cover,11.98928
Float,54.2289
Shares Outstanding,54.94486
Institutions Holding Shares,242.0
FCF Growth 5yr,0.13271908304631916
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.87
Operating Profit Margin (TTM),-38.4902
Net Profit Margin (TTM),-36.9498
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1103
EPS Growth (TTM),-0.2536
Revenue Growth (MRQ),-0.3701
Revenue Growth (TTM),
Return On Equity (TTM),-0.30010000000000003
Return On Assets (TTM),-0.2696
Return On Investment (TTM),-0.2811
Revenue Per Employee (TTM),25462.0
Total Debt/Total Capital (MRQ),0.0011
Change in Debt/Total Capital Quarter over Quarter,0.026099999999999998
Quick Ratio (MRQ),14.55
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2014-08-13 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2014-08-26 00:00:00
theStreet since,
