,AGIO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),160.46,45.03,Valuation,3.5634021763268935
Price/Book (MRQ),1.52,12.61,Valuation,0.12053925455987312
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.87,0.5874,Profitability,1.481103166496425
Operating Profit Margin (TTM),-38.4902,-4.7459,Profitability,8.110200383488907
Net Profit Margin (TTM),-36.9498,-4.5467,Profitability,8.126729276178327
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1103,-0.0014000000000000002,Gowth rates,-78.78571428571428
EPS Growth (TTM),-0.2536,0.027200000000000002,Gowth rates,-9.323529411764705
Revenue Growth (MRQ),-0.3701,1.3963999999999999,Gowth rates,-0.26503867086794614
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.30010000000000003,0.1967,Effectiveness,-1.5256736146415861
Return On Assets (TTM),-0.2696,0.0016,Effectiveness,-168.5
Return On Investment (TTM),-0.2811,0.0219,Effectiveness,-12.835616438356166
Revenue Per Employee (TTM),25462.0,1476201.0,Effectiveness,0.01724832864901189
Total Debt/Total Capital (MRQ),0.0011,0.4675,Financial strength,0.002352941176470588
Change in Debt/Total Capital Quarter over Quarter,0.026099999999999998,0.0036,Financial strength,7.25
Quick Ratio (MRQ),14.55,2.06,Financial strength,7.063106796116505
Interest Coverage (MRQ),,2.69,Financial strength,
