,SEM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.32,29.13,Valuation,0.5945760384483351
Price/Sales (TTM),0.49,1.32,Valuation,0.3712121212121212
Price/Book (MRQ),2.79,4.31,Valuation,0.6473317865429234
"PEG Ratio (TTM, GAAP)",1.74,0.26,Valuation,6.692307692307692
Gross Profit Margin (TTM),0.1137,0.1318,Profitability,0.8626707132018209
Operating Profit Margin (TTM),0.06280000000000001,0.0458,Profitability,1.3711790393013101
Net Profit Margin (TTM),0.0359,0.0242,Profitability,1.4834710743801653
Annual Dividend Yield,0.0206,0.0108,Dividend,1.9074074074074074
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.5096,-0.1478,Gowth rates,3.4479025710419493
EPS Growth (TTM),-0.5601,-1.101,Gowth rates,0.5087193460490463
Revenue Growth (MRQ),-0.010700000000000001,0.0931,Gowth rates,-0.11493018259935554
Revenue Growth (TTM),0.0339,0.1191,Gowth rates,0.2846347607052897
Return On Equity (TTM),0.15560000000000002,7.2022,Effectiveness,0.021604509733137097
Return On Assets (TTM),0.029300000000000003,0.0403,Effectiveness,0.7270471464019851
Return On Investment (TTM),0.0383,0.016,Effectiveness,2.39375
Revenue Per Employee (TTM),175819.0,1375304.0,Effectiveness,0.1278400993525795
Total Debt/Total Capital (MRQ),0.7367,0.4855,Financial strength,1.5174047373841402
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0015,Financial strength,1.2
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),2.46,9.55,Financial strength,0.2575916230366492
