,SEM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5602836879432624
Growth 1yr High Est,-0.5163398692810457
Growth 1yr Consensus Est,-0.5383117786121541
Growth 2yr Low Est,0.0505033173186914
Growth 2yr High Est,0.012100335629747327
Growth 2yr Consensus Est,0.03130182647421936
Growth 5yr Low Est,0.0505033173186914
Growth 5yr High Est,0.012100335629747327
Growth 5yr Consensus Est,0.03130182647421936
Growth 5yr Actual/Est,0.29741047630232964
Growth 3yr Historic,0.2752282812766684
