,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.89,80.42,71.45,,,,,
low,16.41,30.91,28.36,,,,,
change,0.8764000000000001,1.276,-0.3494,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,146.0,94.0,98.0,94.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,102.0,85.0,90.0,83.0,Balance Sheet
Prov. for Doubtful Accts,,,,-5.0,-4.0,-3.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,137.0,133.0,134.0,141.0,Balance Sheet
Other Receivables,,,,2.0,1.0,2.0,2.0,Balance Sheet
"Total Receivables, Net",,,,139.0,134.0,136.0,142.0,Balance Sheet
Total Inventory,,,,2.0,3.0,3.0,4.0,Balance Sheet
Prepaid Expenses,,,,5.0,8.0,5.0,5.0,Balance Sheet
Restricted Cash - Current,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,294.0,239.0,244.0,246.0,Balance Sheet
Buildings,,,,10.0,10.0,11.0,12.0,Balance Sheet
Land/Improvements,,,,1.0,1.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,,60.0,62.0,64.0,65.0,Balance Sheet
Construction in Progress,,,,2.0,3.0,3.0,3.0,Balance Sheet
Other Prop./Plant/Equip.,,,,35.0,41.0,40.0,41.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,109.0,118.0,120.0,121.0,Balance Sheet
Accumulated Depreciation,,,,-45.0,-46.0,-47.0,-49.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,64.0,71.0,72.0,72.0,Balance Sheet
"Goodwill, Net",,,,312.0,316.0,316.0,318.0,Balance Sheet
Intangibles - Gross,,,,289.0,296.0,296.0,300.0,Balance Sheet
Accum. Intangible Amort.,,,,-128.0,-137.0,-146.0,-154.0,Balance Sheet
Intangibles - Net,,,,161.0,159.0,151.0,146.0,Balance Sheet
Other Long Term Assets,,,,2.0,5.0,5.0,7.0,Balance Sheet
Total Assets,,,,833.0,790.0,788.0,789.0,Balance Sheet
Accounts Payable,,,,24.0,18.0,26.0,19.0,Balance Sheet
Accrued Expenses,,,,48.0,42.0,39.0,41.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,14.0,12.0,12.0,13.0,Balance Sheet
Customer Advances,,,,28.0,25.0,19.0,23.0,Balance Sheet
Income Taxes Payable,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,33.0,3.0,5.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,,61.0,28.0,24.0,31.0,Balance Sheet
Total Current Liabilities,,,,148.0,100.0,101.0,103.0,Balance Sheet
Long Term Debt,,,,162.0,160.0,158.0,156.0,Balance Sheet
Capital Lease Obligations,,,,6.0,5.0,5.0,7.0,Balance Sheet
Total Long Term Debt,,,,168.0,165.0,163.0,162.0,Balance Sheet
Total Debt,,,,182.0,177.0,175.0,175.0,Balance Sheet
Deferred Income Tax,,,,4.0,5.0,6.0,6.0,Balance Sheet
"Other Liabilities, Total",,,,44.0,51.0,50.0,48.0,Balance Sheet
Total Liabilities,,,,364.0,322.0,320.0,320.0,Balance Sheet
Redeemable Preferred Stock,,,,153.0,153.0,153.0,153.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,464.0,471.0,478.0,485.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-148.0,-155.0,-163.0,-169.0,Balance Sheet
Cum. Trans. Adjustment,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Equity,,,,,0.0,,,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,469.0,469.0,468.0,469.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,833.0,790.0,788.0,789.0,Balance Sheet
