,MEG
% Above Low,0.6343
% Held by Institutions,0.9594
52-Wk Range,['28.36 - 75.50']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,30.21
Bid Size,
Closing Price,46.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.31
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.35
Short Interest,0.0546
Today's Open,
Volume,30423.0
Volume 10-day Avg,107556.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.28395061728395077
Growth 2yr High Est,-0.6976744186046512
Growth 2yr Consensus Est,-0.490812517944301
Growth 5yr Low Est,-0.28395061728395077
Growth 5yr High Est,-0.6976744186046512
Growth 5yr Consensus Est,-0.490812517944301
Growth 5yr Actual/Est,-0.4111995284409078
Growth 3yr Historic,-0.2436781609195402
Price/Earnings (TTM),
Price/Sales (TTM),2.50983
Price/Book (MRQ),4.35193
Price/Cash Flow (TTM),157.4584
5yr Low,16.41
5yr High,80.42
5yr Avg Return,0.601
Short Int Current Month,1488922.0
Short Int Prev Month,1572900.0
Short Int Pct of Float,0.0546417
Days to Cover,11.38233
Float,27.24883
Shares Outstanding,29.71157
Institutions Holding Shares,194.0
FCF Growth 5yr,-1.208354197030661
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3486
Operating Profit Margin (TTM),-0.042300000000000004
Net Profit Margin (TTM),-0.040999999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.17170000000000002
EPS Growth (TTM),0.1501
Revenue Growth (MRQ),-0.06860000000000001
Revenue Growth (TTM),0.073
Return On Equity (TTM),-0.16829999999999998
Return On Assets (TTM),-0.0309
Return On Investment (TTM),-0.0363
Revenue Per Employee (TTM),219478.0
Total Debt/Total Capital (MRQ),0.2713
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),2.34
Interest Coverage (MRQ),-3.08
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-06-27 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
