,AOSL
% Above Low,0.2893
% Held by Institutions,0.6775
52-Wk Range,['27.38 - 69.99']
Annual Dividend $,
Annual Dividend %,
Ask,35.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.4
Bid,34.84
Bid Size,100.0
Closing Price,35.3
Day Change $,-0.61
Day Change %,-0.017
Day High,35.7
Day Low,35.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.07
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,965.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.2
Prev Close,35.91
Short Interest,0.1023
Today's Open,35.53
Volume,76746.0
Volume 10-day Avg,203420.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.26741573033707877
Growth 1yr High Est,-0.1476510067114093
Growth 1yr Consensus Est,-0.20753336852424403
Growth 2yr Low Est,-0.11990418418694426
Growth 2yr High Est,0.04953407669678883
Growth 2yr Consensus Est,-0.035185053745077716
Growth 5yr Low Est,-0.11990418418694426
Growth 5yr High Est,0.04953407669678883
Growth 5yr Consensus Est,-0.035185053745077716
Growth 5yr Actual/Est,0.7062617726850278
Growth 3yr Historic,0.7214648619298789
Price/Earnings (TTM),2.19686
Price/Sales (TTM),1.2109
Price/Book (MRQ),1.09236
Price/Cash Flow (TTM),1.94907
5yr Low,5.82
5yr High,69.99
5yr Avg Return,0.28445000000000004
EPS Growth 5yr,0.9589103
Revenue Growth 5yr,0.1519397
Dividend Growth 5yr,
Short Int Current Month,2277662.0
Short Int Prev Month,2462993.0
Short Int Pct of Float,0.102277
Days to Cover,8.23548
Float,22.26955
Shares Outstanding,27.40798
Institutions Holding Shares,238.0
FCF Growth 5yr,-0.318513136315121
"Price/Earnings (TTM, GAAP)",2.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3443
Operating Profit Margin (TTM),0.6279
Net Profit Margin (TTM),0.5731
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6692
EPS Growth (TTM),5.1673
Revenue Growth (MRQ),0.0748
Revenue Growth (TTM),0.154
Return On Equity (TTM),0.7086
Return On Assets (TTM),0.3976
Return On Investment (TTM),0.5515
Revenue Per Employee (TTM),325987.0
Total Debt/Total Capital (MRQ),0.08130000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0063
Quick Ratio (MRQ),1.57
Interest Coverage (MRQ),42.0
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-30 00:00:00
theStreet since,
