,AOSL
Price/Earnings (TTM),2.19686
Price/Sales (TTM),1.2109
Price/Book (MRQ),1.09236
Price/Cash Flow (TTM),1.94907
5yr Low,5.82
5yr High,69.99
5yr Avg Return,0.28445000000000004
EPS Growth 5yr,0.9589103
Revenue Growth 5yr,0.1519397
Dividend Growth 5yr,
Short Int Current Month,2277662.0
Short Int Prev Month,2462993.0
Short Int Pct of Float,0.102277
Days to Cover,8.23548
Float,22.26955
Shares Outstanding,27.40798
Institutions Holding Shares,238.0
% Held by Institutions,0.677547
FCF Growth 5yr,-0.318513136315121
