,ACMR
% Above Low,0.5806
% Held by Institutions,0.5177
52-Wk Range,['5.46 - 30.53']
Annual Dividend $,
Annual Dividend %,
Ask,8.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,8.2
Bid Size,100.0
Closing Price,8.63
Day Change $,-0.04
Day Change %,-0.0046
Day High,8.72
Day Low,8.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.935
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,511.4M
"P/E Ratio (TTM, GAAP)",17.71
Prev Close,8.67
Short Interest,0.0789
Today's Open,8.61
Volume,142487.0
Volume 10-day Avg,700981.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.3106796116504855
Growth 1yr High Est,-0.1711711711711712
Growth 1yr Consensus Est,-0.24092539141082836
Growth 2yr Low Est,-0.3806919185012991
Growth 2yr High Est,0.03941441441441429
Growth 2yr Consensus Est,-0.1706387520434424
Growth 5yr Low Est,-0.25379461233419937
Growth 5yr High Est,0.026276276276276194
Growth 5yr Consensus Est,-0.11375916802896159
Growth 5yr Actual/Est,0.17641736186039986
Growth 3yr Historic,0.17636867636867637
Price/Earnings (TTM),17.70583
Price/Sales (TTM),1.36681
Price/Book (MRQ),0.8663
Price/Cash Flow (TTM),16.43055
5yr Low,1.58
5yr High,48.27
5yr Avg Return,0.7052166666666666
EPS Growth 5yr,0.6837291999999999
Revenue Growth 5yr,0.5683872999999999
Dividend Growth 5yr,
Short Int Current Month,3513923.0
Short Int Prev Month,4262691.0
Short Int Pct of Float,0.0789374
Days to Cover,2.49379
Float,39.57402
Shares Outstanding,59.46033
Institutions Holding Shares,167.0
FCF Growth 5yr,-0.032980410447761205
"Price/Earnings (TTM, GAAP)",17.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4668
Operating Profit Margin (TTM),0.1638
Net Profit Margin (TTM),0.14650000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7131000000000001
EPS Growth (TTM),0.3153
Revenue Growth (MRQ),0.2808
Revenue Growth (TTM),0.7863
Return On Equity (TTM),0.1054
Return On Assets (TTM),0.068
Return On Investment (TTM),0.12560000000000002
Revenue Per Employee (TTM),428087.0
Total Debt/Total Capital (MRQ),0.0848
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004
Quick Ratio (MRQ),1.86
Interest Coverage (MRQ),24.39
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-05 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2021-03-30 00:00:00
marketEdge opinion since,
