,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
high,2.4,5.2,7.29,37.96,48.27,30.53,,,,,,
low,1.61,1.58,3.01,5.32,20.28,5.46,,,,,,
change,-0.23579999999999998,1.0724,0.7131000000000001,3.338,0.0443,-0.7007,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,,563.0,380.0,324.0,336.0,Balance Sheet,
Short Term Investments,,,,,,,29.0,100.0,94.0,80.0,Balance Sheet,
Cash and Short Term Invs,,,,,,,593.0,480.0,418.0,417.0,Balance Sheet,
"Trade Accts Recvble, Gross",,,,,,,106.0,106.0,155.0,,Balance Sheet,
Prov. for Doubtful Accts,,,,,,,0.0,0.0,0.0,,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,106.0,106.0,155.0,188.0,Balance Sheet,
Other Receivables,,,,,,,20.0,25.0,18.0,15.0,Balance Sheet,
"Total Receivables, Net",,,,,,,126.0,132.0,172.0,204.0,Balance Sheet,
Invent. - Finished Goods,,,,,,,92.0,107.0,103.0,,Balance Sheet,
Invent. - Work In Progress,,,,,,,36.0,57.0,46.0,,Balance Sheet,
Invent. - Raw Materials,,,,,,,91.0,108.0,139.0,,Balance Sheet,
Total Inventory,,,,,,,218.0,272.0,288.0,328.0,Balance Sheet,
Prepaid Expenses,,,,,,,17.0,22.0,22.0,23.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,,,1.0,0.0,Balance Sheet,
Total Current Assets,,,,,,,953.0,905.0,901.0,971.0,Balance Sheet,
Buildings,,,,,,,4.0,46.0,45.0,,Balance Sheet,
Land/Improvements,,,,,,,10.0,10.0,9.0,,Balance Sheet,
Machinery/Equipment,,,,,,,8.0,9.0,9.0,,Balance Sheet,
Construction in Progress,,,,,,,6.0,7.0,8.0,,Balance Sheet,
Other Prop./Plant/Equip.,,,,,,,6.0,7.0,7.0,,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,34.0,79.0,78.0,,Balance Sheet,
Accumulated Depreciation,,,,,,,-6.0,-7.0,-8.0,,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,28.0,71.0,70.0,78.0,Balance Sheet,
Intangibles - Net,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet,
LT Invt. - Affiliate Comp.,,,,,,,13.0,13.0,13.0,19.0,Balance Sheet,
LT Investments - Other,,,,,,,,79.0,75.0,70.0,Balance Sheet,
Long Term Investments,,,,,,,13.0,91.0,87.0,89.0,Balance Sheet,
Other Long Term Assets,,,,,,,45.0,4.0,3.0,2.0,Balance Sheet,
